0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- PLASTIC &RESINS,CPVC Compound/Resin,Chlorine Content,IS 4669
2,CHEMICAL- PLASTIC &RESINS,CPVC Product/Resin,Filler/Ash Content,IS 15225
3,CHEMICAL- PLASTIC &RESINS,CPVC Resin/Products,Chlorine Content,IS 15778
4,CHEMICAL- PLASTIC &RESINS,DWC pipe/Raw Material,Thermal Stability to Oxidation,IS 16098 Part - 2
5,CHEMICAL- PLASTIC &RESINS,Fumigation covers,Fumigation retention test,IS 13217
6,CHEMICAL- PLASTIC &RESINS,Geo Membrane,Ash Content,IS 15351
7,CHEMICAL- PLASTIC &RESINS,Geo Synthetics for Lining,Stress Cracking Test/Resistance,IS 16352
8,CHEMICAL- PLASTIC &RESINS,HDPE LAMINATED WOVEN LAY FLAT TUBE,COLD CRACKING RESISTANCE,IS 16190 annexure E
9,CHEMICAL- PLASTIC &RESINS,HDPE SHEET,OXIDATIVE INDUCTION TIME(OIT),ISO 11357 PART 6
10,CHEMICAL- PLASTIC &RESINS,Industrial Safety Helmet,Water Absorption,IS 2925
11,CHEMICAL- PLASTIC &RESINS,Jute Sacks,Oil Content,IS 2969
12,CHEMICAL- PLASTIC &RESINS,ORCHARD FILM,PRESENCE OF UV STABILISER,ASTM E1252
13,CHEMICAL- PLASTIC &RESINS,PE Film/Granules,Carbon Black Dispersion,IS 2530
14,CHEMICAL- PLASTIC &RESINS,PE Granules/Film,Carbon Black Content,IS 2530
15,CHEMICAL- PLASTIC &RESINS,PE Granules/Product,Volatile Content,IS 4984
16,CHEMICAL- PLASTIC &RESINS,PE Granules/Products,Carbon Black Content,ASTM D1603
17,CHEMICAL- PLASTIC &RESINS,PE Granules/Products,Volatile Content,IS 14885
18,CHEMICAL- PLASTIC &RESINS,PE Granules/Resin,Volatile Content/Loss,IS 12786
19,CHEMICAL- PLASTIC &RESINS,PE pipe/Raw material,Thermal Stability to Oxidation/OIT,IS 14885
20,CHEMICAL- PLASTIC &RESINS,PE Pipes/Products,Pigment Dispersion,IS 14885
21,CHEMICAL- PLASTIC &RESINS,PE Pipes/Products,Pigment Dispersion,IS 15450
22,CHEMICAL- PLASTIC &RESINS,Plastic Containers,Environmental Stress Cracking Test/Resistance,IS 6312
23,CHEMICAL- PLASTIC &RESINS,Plastic Film/Granules,Filler/Ash Content,IS 2508
24,CHEMICAL- PLASTIC &RESINS,Plastic Granules/Products,Filler/Ash Content,ASTM D5630
25,CHEMICAL- PLASTIC &RESINS,PLASTIC PRODUCT/RAW MATERIAL,PRESENCE OF UV STABILISER,ASTM E1252
26,CHEMICAL- PLASTIC &RESINS,Plastics Granules/Products,Glass Transition Temperature,ASTM D3418
27,CHEMICAL- PLASTIC &RESINS,Plastics material & Products,PRESENCE OF UV STABILISER,FTIR (ASTM E1252)
28,CHEMICAL- PLASTIC &RESINS,Plastics Raw Material & Products,Water Content,IS 4984
29,CHEMICAL- PLASTIC &RESINS,Plastics Raw Material/Product,Environmental Stress Cracking Test/Resistance,ASTM D1693
30,CHEMICAL- PLASTIC &RESINS,Plastics Raw Material/Product,Environmental Stress Cracking Test/Resistance,IS 12786
