0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries ( Lithium System),Case Stress at High Ambient Temperature (Batteries),"Cl. 7.2.2, IS 16046 (Part -2)"
2,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries ( Lithium System),Charging Procedure (First and Second Procedure),"Cl. 7.1, IS 16046 (Part -2)"
3,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries (Lithium System),Crush (Cell),"Cl. 7.3.5, IS 16046 (Part -2)"
4,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Parameter measurement Tolerance,"Cl.4, IS 16046 (Part- 2)"
5,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Assembly of Cells into batteries,"Cl.5.6, IEC 62133-2"
6,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Assembly of Cells into batteries,"Cl.5.6, IS 16046 (Part- 2)"
7,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Battery Marking,"Cl.9.2, IS 16046 (Part- 2)"
8,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Battery Marking,"Cl.9.2, IEC 62133-2"
9,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Battery safety components,"Cl.5.8, IS 16046 (Part- 2)"
10,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Battery safety components,"Cl.5.8, IEC 62133-2"
11,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Case stress at high ambienttemperature (battery),"Cl.7.2.2, IEC 62133-2"
12,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Caution for ingestion of smallcells and batteries,"Cl.9.3, IEC 62133-2"
13,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Caution for ingestion of smallcells and batteries,"Cl.9.3, IS 16046 (Part- 2)"
14,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Cell Marking,"Cl.9.1, IS 16046 (Part- 2)"
15,ELECTRICAL- CELLS &BATTERIES,Secondary cells and batteries (Lithium System),Cell Marking,"Cl.9.1, IEC 62133-2"
16,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries (Lithium System),Charging Procedure (First and Second Procedure),"Cl. 7.1, IEC 62133-2"
17,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries (Lithium System),Continuous charging atconstant voltage (cells),"Cl. 7.2.1, IEC 62133-2"
18,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries (Lithium System),Continuous charging atconstant voltage (cells),"Cl. 7.2.1, IS 16046 (Part -2)"
19,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries (Lithium System),Crush (Cell),"Cl. 7.3.5, IEC 62133-2"
20,ELECTRICAL- CELLS &BATTERIES,Secondary Cells and Batteries (Lithium System),External Short Circuit (Battery),"Cl. 7.3.2, IEC 62133-2"
