0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Cloud Control Capable Router,ISIS Functional Test,RFC 1142/1195
2,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Cloud Control Capable Router,Netconf/YANG Functional Test,RFC 6241/6020
3,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Condenser Click,Condenser Click/Bell Capacitance,ETSI EN 300 001
4,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Digital Switch,General Functions /Features of Digital Switch 1. PSTN Connectivity &compatibility 2.Voice/Data functions 3.Performance Reporting 4.O & M features,TEC/IR/NGS/2 MB-001/03 DEC.14
5,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),DWDM product,Channel Spacing,ITU-T G.694.1
6,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products (only with external antennaconnector) with RF output,Designation of Center Frequencies andfrequency error,ETSI EN 302 502 V2.1.1(2017-03); Clause 4.2.1
7,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products (only with external antennaconnector) with RF output,Receiver Blocking,ETSI EN 302 502 V2.1.1(2017-03); Clause no.:4.2.7
8,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products (only with external antennaconnector) with RF output,Receiver Spurious Emissions (Conducted),ETSI EN 302 502 V2.1.1(2017-03); Clause:4.2.5
9,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products (only with external antennaconnector) with RF output,Transmitter Power Control(TPC),ETSI EN 302 502 V2.1.1(2017-03); Clause 4.2.4
10,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products (only with external antennaconnector) with RF output,"Transmitter RF Output Power, EIRP and EIRPSpectral Density",ETSI EN 302 502 V2.1.1(2017-03); Clause 4.2.2
11,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products (only with external antennaconnector) with RF output,User Access Restrictions,ETSI EN 302 502 V2.1.1(2017-03); Clause no.:4.2.8
12,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products with RF output,"""Transmitter unwantedemissions outside the 5 GHz RLAN bands(Conducted)""",ETSI EN 301 893 V2.1.1(2017-05); Clause: 4.2.4.1
13,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products with RF output,"Accumulated Transmit Time, Frequencyoccupation and Hopping","ETSI EN 300 328 V2.2.2(2019-07); Clause No.:4.3.1.4, 5.4.4"
14,ELECTRONICS-TELECOMMUNICATION EQUIPMENT (FORTEC CABDESIGNATION),Electronic Products with RF output,Adaptivity,"ETSI EN 300 328 V2.2.2(2019-07); Clause No.:4.3.1.7 or 4.3.2.6, 5.4.6"
