0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Ageing in Air oven,"IS 14255, IS 10810 (Part 11)"
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Assembly (Laying up),IS 14255
3,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Construction,IS 14255
4,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Core Identication,IS 14255
5,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Elongation at Break,"IS 14255, IS 10810 (Part 7)"
6,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,High Voltage Test,"IS 14255, IS 10810 (Part 45)"
7,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Hot Set Test,"IS 14255, IS 10810 (Part 30)"
8,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Identication,IS 14255
9,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Insulation Resistance(Volume Resistivity test),"IS 14255, IS 10810 (Part 43)"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Marking,IS 14255
11,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Shrinkage Test,"IS 14255, IS 10810 (Part 12)"
12,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Tensile Strength,"IS 14255, IS 10810 (Part 7)"
13,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Test for Thickness ofinsulation,"IS 14255, IS 10810 (Part 8)"
14,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Test on Messenger Conductor Breaking Load,"IS 14255, IS 10810 (Part 2)"
15,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Test on Messenger Conductor Elongation Test,IS 14255
16,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Test on Messenger Conductor Resistance Test,"IS 14255, IS 10810 (Part 5)"
17,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Test on phase/street lightconductor Resistance Test,"IS 14255, IS 8130, IS10810 (Part 5)"
18,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Test on phase/street lightconductor Tensile Test,"IS 14255, IS 8130, IS10810 (Part 2)"
19,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Test on phase/street lightconductor Wrapping Test,"IS 14255, IS 8130, IS10810 (Part 3)"
20,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables,Water Absorption(Gravimetric),"IS 14255, IS 10810 (Part 33)"
21,ELECTRICAL- CABLES& WIRES,"Armoured and unarmoured Single Core, Twin Core, Three Core and Multi-core PVC insulated(Heavy Duty) and Sheathed cables",Ageing in Air Oven,"IS 1554 (Part 1), IS 5831,IS 10810 (Part 11)"
22,ELECTRICAL- CABLES& WIRES,"Armoured and unarmoured Single Core, Twin Core, Three Core and Multi-core PVC insulated(Heavy Duty) and Sheathed cables",Annealing Test (forcopper),"IS 1554 (Part 1), IS 8130,IS 10810 (Part 1)"
