0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,"Flame retardant Power cable, Non Flameretardant Power cable",Flame Retardant Test(Swedish Chimney),"SS 424 1475, IS 10810(Part 61)"
2,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Annealing (Elongation)test for Copper,"IS 17048, IS 10810 (Part 1)"
3,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Assessment of Halogen(HCL),"IS 10810 (Part 59), IS17048"
4,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Cable Identication/Marking,IS 17048
5,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Cold Bend Test,"IS 17048, IS 10810 (Part 20)"
6,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Cold Impact test,"IS 17048, IS 10810 (Part 21)"
7,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Conductor Resistance Test,"IS 17048, IS 10810 (Part 5)"
8,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Core Formation,IS 17048
9,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Core Identication,IS 17048
10,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Flame Retardance Test,"IS 17048, IS 10810 (Part 61)"
11,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Flammability Test,"IS 17048, IS 10810 (Part 53)"
12,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,High Voltage Test,"IS 17048, IS 10810 (Part 45)"
13,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Hot Deformation,"IS 17048, IS 10810 (Part 15)"
14,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Persulphate test fortinned conductor,"IS 17048, IS 10810 (Part 4)"
15,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Shrinkage Test,"IS 17048, IS 10810 (Part 12)"
16,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Smoke Density Rating,"IS 17048, IS 10810 (Part 63)"
17,ELECTRICAL- CABLES& WIRES,Halogen Free Flame Retardant (HFFR) Cables forworking voltages up to and including 1100 V,Tensile Test,"IS 17048, IS 10810 (Part 2)"
