0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Cable Telephone 2 Conductor HDPE Insulated JWD-1,Cold Bend,JSS 6145-18 (Cl 11.12 &11.14) 2002 RA
2,ELECTRICAL- CABLES& WIRES,Cable Telephone 2 Conductor HDPE Insulated JWD-1,Conductor Resistance,"JSS 6145-18, CL11.6.1:2002 RA"
3,ELECTRICAL- CABLES& WIRES,Cable Telephone 2 Conductor HDPE Insulated JWD-1,Dimension,"JSS 6145-18, CL 11.5.4.22002 RA:"
4,ELECTRICAL- CABLES& WIRES,Cable Telephone 2 Conductor HDPE Insulated JWD-1,Heat Bend,JSS 6145-18: CL 11.132002 RA:
5,ELECTRICAL- CABLES& WIRES,Cable Telephone 2 Conductor HDPE Insulated JWD-1,High Voltage,JSS 6145-18 (Cl 11.6.2)2002 RA:
6,ELECTRICAL- CABLES& WIRES,Cable Telephone 2 Conductor HDPE Insulated JWD-1,Tensile Strength,JSS 6145-18 (Cl 11.8 &11.9) 2002 RA:
7,ELECTRICAL- CABLES& WIRES,Cable Telephone 2 Conductor HDPE Insulated JWD-1,Thermal Ageing,"JSS 6145-18, Cl 11.9 2002 RA:"
8,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Cold Bend at (-) 40 C,"JSS 6145-26 (Cl 11.8.1.2,11.8.2.1 & 11.8.2.2)"
9,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Cold Bend at (-)55 C,JSS 6145-26 (Cl 11.8.2.3& 11.8.2.4)
10,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Conductor Resistance,"JSS 6145-26, CL11.7.5.2.3"
11,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Dimension,"JSS 6145-26, CL. 7"
12,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Elongation percentage atbreak,"JSS 6145-26 (CL 11.7.3.1,11.7.4.1 & 11.7.3.2,11.7.4.2)"
13,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Heat (Insulation),JSS 6145-26 (Cl 11.8.1.1)
14,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Heat (sheath),JSS 6145-26 (Cl 11.8.2.5)
15,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,High Voltage,JSS 6145-26 (Cl 11.7.5.1& 11.7.5.2.1)
16,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Tensile strength,"JSS 6145-26 (CL 11.7.3.1 ,11.7.4.1 & 11.7.3.2,11.7.4.2)"
17,ELECTRICAL- CABLES& WIRES,Cable Telephone Carrier Quad 1 A,Thermal Ageing,JSS 6145-26 (Cl 11.7.3.2& 11.7.4.2)
18,ELECTRICAL- CABLES& WIRES,"Elastomeric cable, size from 01 mm to 18.3 mm OD, Rating up to and including 1100 V",Conductor Resistance,"IS 10810(Part 5), 1984,RA:"
