0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- ITEQUIPMENT,Mobile Handset or IPv 6 Host,"Test v 6 LC.1.1.1 Test v 6 LC1.1.2 Test v 6 LC 1.1.4 Testv 6 LC 1.1.5 Part-A, B, CTest v 6 LC 1.1.6 Part-ATest v 6 LC 1.1.7 Part-A, BTest v 6 LC 1.1.8 Test v 6 LC1.1.10 Part A, B, C, D, E,F, G, H, I, J Test v 6 LC1.2.1 Test v 6 LC 1.2.2 Part-A Test v 6 LC 1.2.3 Part-A, B Test v 6 LC.1.2.4 Part-A, B, C, D Testv 6 LC.1.2.5 Part-A, B, CTest v 6 LC.1.2.6 Part-A, B,C, D, E, F, G, HTestv 6 LC.1.2.8 Part-A,B,C, D, E, F, G, HTestv 6 LC.1.2.9 Part-A, BTest v 6 LC.1.2.10 Part-A, BTest v 6 LC.1.3.1 Part A, B,C, D, E, F, Test",RFC 2460/8200: IPv 6 Ready Core Protocols Test Specification Revision 5.1.3
2,ELECTRONICS- ITEQUIPMENT,IPv 6 core protocols,"Test V6 LC 5.1.2 Part -A, B,C, D, E, F, G, Test V6 LC5.1.8, Test V6 LC 5.1.10 Part- A, B, Test V6 LC5.1.11 Part A, B, C,D, Test V6 LC5.1.12 Part A, B, C, D, Test V6 LC5.1.13 Part A, B, C,D,","ICMPv 6 (RFC 4443), IPv 6 -Revision 5.1.3"
3,ELECTRONICS- ITEQUIPMENT,IPv 6 core protocols,"V6 LC.2.1.7 Part -D, Test V6 LC.2.1.15 Part B, Test V6 LC.2.2.4 Part -A, Test V6 LC.2.2.5 Test,V6 LC.2.2.6 Part -A, B,Test V6 LC2.1.1- 2.3.17 (Part A- Part R)","IPv 6 - Revision 5.1.3, IPv 6(RFC 4861)"
4,ELECTRONICS- ITEQUIPMENT,Switch,"Technical Requirements,Clause 2.3.1 Maclearning & Packetforwarding","Test No. 2, Annexure-I of TEC/ER/IT/LSW-001/01/AUG 2018,Test No 2-4 of Annexure-I of TEC/LR/IT/LSW-001/01/AUG 2018"
5,ELECTRONICS- ITEQUIPMENT,All products with 100 Gigabit Optical Ethernet Interface,Average Launch Power for 100 GE Opt interface,"IEEE 802.3ba Clause 86,88"
6,ELECTRONICS- ITEQUIPMENT,All products with 100 Gigabit Optical Ethernet Interface,Receiver Sensitivity for 100 GE Opt interface,"IEEE 802.3ba Clause 86,88"
7,ELECTRONICS- ITEQUIPMENT,All products with 100 Gigabit Optical Ethernet Interface,Wavelength for 100 GEOpt interface,"IEEE 802.3ba Clause 86,88"
8,ELECTRONICS- ITEQUIPMENT,All products with 40 Gigabit Optical Ethernet Interface,Average Launch Power for 40 GE Opt interface,"IEEE 802.3ba Clause 86,87"
9,ELECTRONICS- ITEQUIPMENT,All products with 40 Gigabit Optical Ethernet Interface,Receiver Sensitivity for 40 GE Opt Interface,IEEE 802.3ba Cl. 86 87
10,ELECTRONICS- ITEQUIPMENT,All products with 40 Gigabit Optical Ethernet Interface,Wavelength for 40 GE Optinterface,IEEE 802.3ba Cl. 86 87
