0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
2,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Aluminium (Al),ASTM E415
3,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Carbon (C),ASTM E415
4,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Chromium (Cr),ASTM E415
5,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Cobalt (Co),ASTM E415
6,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Copper (Cu),ASTM E415
7,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Manganese (Mn),ASTM E415
8,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Molybdenum (Mo),ASTM E415
9,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Nickel (Ni),ASTM E415
10,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Niobium (Nb),ASTM E415
11,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Phosphorus (P),ASTM E415
12,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Silicon (Si),ASTM E415
13,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Sulphur (S),ASTM E415
14,CHEMICAL- METALS &ALLOYS,Low Alloy Steel,Vanadium (V),ASTM E415
21,MECHANICAL-MECHANICALPROPERTIES OFMETALS,Ferrous Sheet (Cold Rolled Non-Oriented Steel(CRNO)),Vickers Hardness Number(HV1),ASTM E384
22,MECHANICAL-MECHANICALPROPERTIES OFMETALS,Ferrous Sheet (Cold Rolled Non-Oriented Steel(CRNO)),Vickers Hardness Number(HV10),ASTM E92
23,MECHANICAL-MECHANICALPROPERTIES OFMETALS,Ferrous Sheet (Cold Rolled Non-Oriented Steel(CRNO)),Vickers Hardness Number(HV5),ASTM E92
24,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Elongation (EL),ASTM E8
25,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Elongation (EL),DIN EN ISO-6892-1
26,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Elongation (EL),JIS Z 2241
27,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Rockwell Hardness Number (HR15 TW),ASTM E18
28,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Rockwell Hardness Number (HR30 TW),ASTM E18
29,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Rockwell Hardness Number (HRBW),ASTM E18
30,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Surface Roughness (Ra Value),JIS B 0601
31,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Tensile Strength (TS),ASTM E8
32,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Tensile Strength (TS),DIN EN ISO-6892-1
33,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Tensile Strength (TS),JIS Z 2241
34,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Yield Strength (YP),ASTM E8
35,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Yield Strength (YP),DIN EN ISO-6892-1
36,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CR)",Yield Strength (YP),JIS Z 2241
37,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CRCA, CRFH)",Plastic Strain Ratio (R-bar),ASTM E517
38,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CRCA, CRFH)",Plastic Strain Ratio (R-bar),ISO 10113
39,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CRCA, CRFH)",Tensile Strain Hardening Exponent (N- value),ASTM E646
40,MECHANICAL-MECHANICALPROPERTIES OFMETALS,"Ferrous Sheet (GA, GI, CRCA, CRFH)",Tensile Strain Hardening Exponent (N- value),ISO 10275
