0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Converter,Sound Measurement test,IEC 62109-2 CL 10.2.1
2,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Converter,Static Conversion Eciency,EN 50530 CL. 4.5
3,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Converter,Touch Current test,IEC 62109 CL7.3.6.3.7
4,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Converters,Energy Eciency,IS/IEC 61683 CL. 5.3
5,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Converters,Partial Output Eciency,IS/IEC 61683 CL.5.2
6,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Converters,Rated Output Eciency,IS/IEC 61683 CL.5.1
7,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Current Rating,IEC 61727 CL.4.1
8,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,DC Current Injection,IEC 61727 CL.4.4
9,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Dynamic MPPT Test,EN50530 CL.4.4
10,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Frequency,IEC 61727 CL.4.1
11,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Harmonics/Total Harmonic Distortion,IEC 61727 CL.4.6
12,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,No Load Test,IS/IEC 61683 CL. 7.1
13,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Overall Eciency,EN50530 CL. 5.0
14,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Power Factor at 50% Load,IEC 61727 CL.4.7
15,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Reconnection Time after Utility Recovery,IEC 61727 CL.5.4
16,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Standby Loss,IS/IEC 61683 CL.7.2
17,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Static MPPT Test,EN50530 CL.4.3
18,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Tripping Time duringover/under voltage,IEC 61727 CL.5.2.1
19,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Tripping Time under Over Frequency/Under Frequency,IEC 61727 CL.5.2.2
20,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Utility Interconnected Photovoltaic Inverters-Test Procedure of Islanding Prevention Measures,IS 16169
21,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Utility-interconnectedphotovoltaic inverters -Test procedure ofislanding preventionmeasures,IEC 62116
22,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Voltage Rating,IEC 61727 CL.4.1
23,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility Interconnected Photovoltaic Equipment,Weighted Eciencies,EN50530 CL4.5.3
