0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,Earthing,IS 12615 (Clause No.8)
2,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,High Voltage Test,IS 12615 (Clause No.16.1.6)
3,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,High Voltage Test,IS 4029 (Clause No.6)
4,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,Insulation Resistance Test,IS 12615 (Clause No.16.1.1)
5,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,Insulation Resistance Test,IS 4029 (Clause No.5)
6,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 12615 (Clause No.16.2.3)
7,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 12615 (Clause No.16.2.3)
8,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 12615 (Clause No.16.2.3)
9,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 12615 (Clause No.16.2.3)
10,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 12615 (Clause No.16.2.3)
11,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 12615 (Clause No.16.2.3)
12,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 4029 (Clause No.8.8)
13,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 4029 (Clause No.8.8)
14,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 4029 (Clause No.8.8)
15,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 4029 (Clause No.8.8)
16,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 4029 (Clause No.8.8)
17,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,"Load test to Determine Eciency, Power Factorand Slip",IS 4029 (Clause No.8.8)
18,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,Locked Rotor Test/starting performance ofcage induction,IS 12615 (Clause No.16.2.2)
19,ELECTRICAL-ROTATINGELECTRICALMACHINES,Line operated three phase a.c. motors,Locked Rotor Test/starting performance ofcage induction,IS 12615 (Clause No.16.2.2)
