0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power Transformer 150 MVA, 220/33 KV, star-Star, sl. no. DEVPL-120",Switching Impulse Test,IEC 60076-3
2,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Applied Voltage Test,IEC 60076-3
3,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Applied Voltage Test,IEEE C57.12.00
4,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Applied Voltage Test,IEEE C57.12.90
5,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Applied Voltage Test,IS 2026-3
6,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Auxiliary wiring insulationtest,IEC 60076-3
7,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Check of Ratio & Polarityof built in Current Transformers,IEC 60076-1
8,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Check of Ratio & Polarityof built in Current Transformers,IS 2026-1
9,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Check of voltage vectorrelationship,IEC 60076-1
10,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Check of voltage vectorrelationship,IS 2026-1
11,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Check of voltage vectorrelationship,IEEE C57.12.00
12,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Chopped wave lightningimpulse test,IEC 60076-3
13,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Chopped wave lightningimpulse test,IS 2026-3
14,ELECTRICAL-INDUCTORS &TRANSFORMERS,"Power, Auto & Special type Transformers Up to 160 MVA, Single & Three Phase, HT Voltage Up to 245k V, LT Voltage Up to 66k V",Determination of Sound Level,IEC 60076-10
