0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cable - 1100 volts,AC High voltage test (at roomtemperature),"IS 14255, Cl. 11.2"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cable - 1100 volts,Bending Test,"IS 10810 (Part 50), Cl. 8"
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cable - 1100 volts,Bending Test,"IS 14255, Cl. 11.4"
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cable - 1100 volts,Dimensional Measurement,"IS 14255, Cl. 7.2, 7.3"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cable - 1100 volts,General & Constructional Examination,"IS 14255, Cl. 6.2, 7.4, 7.5, 8.1,9.1, 9.2"
6,ELECTRICAL- CABLES &WIRES,Aluminium Alloy Messenger Wire of Aerial Bunched Cable,Elongation,"IS 14255, Cl. 11.3"
7,ELECTRICAL- CABLES &WIRES,PVC Insulated Cable,AC High voltage test (at roomtemperature),IS 1554 (Part 1)
8,ELECTRICAL- CABLES &WIRES,PVC Insulated Cable - 1100 volts,AC High Voltage (Water Immersion) Test,IS 10810 (Part 45)
9,ELECTRICAL- CABLES &WIRES,PVC Insulated Cable - 1100 volts,AC High Voltage (Water Immersion) Test,IS 694
10,ELECTRICAL- CABLES &WIRES,PVC Insulated Cable - 1100 volts,AC High voltage test (at roomtemperature),IS 694
11,ELECTRICAL- CABLES &WIRES,PVC insulated cable - 1100 volts,Additional Ageing 1. AC highvoltage test (at room temp.) 2.Cold bend test 3. Cold impacttest (at -5 C),IS 694
12,ELECTRICAL- CABLES &WIRES,PVC Insulated Cable - 1100 volts,DC High Voltage (Water Immersion) Test,IS 10810 (Part 45)
13,ELECTRICAL- CABLES &WIRES,PVC Insulated Cable - 1100 volts,DC High Voltage (Water Immersion) Test,IS 694
14,ELECTRICAL- CABLES &WIRES,PVC Insulated Cable - 1100 volts,Dimensional Measurement,IS 694
15,ELECTRICAL- CABLES &WIRES,"PVC insulated cable - 1100 volts, XLPE insulated - 1100volts",Thermal Stability,IS 10810 (Part 60)
16,ELECTRICAL- CABLES &WIRES,"PVC insulated cable - 1100 volts, XLPE insulated cable -1100 volts",Annealing,IS 10810 (Part 1)
17,ELECTRICAL- CABLES &WIRES,"PVC insulated cable - 1100 volts, XLPE insulated cable -1100 volts",Cold Bend Test,IS 10810 (Part 20)
18,ELECTRICAL- CABLES &WIRES,"PVC insulated cable - 1100 volts, XLPE insulated cable -1100 volts",Cold Impact Test (at -5 C),IS 10810 (Part 21)
19,ELECTRICAL- CABLES &WIRES,"PVC insulated cable - 1100 volts, XLPE insulated cable -1100 volts",Flammability,IS 10810 (Part 53)
20,ELECTRICAL- CABLES &WIRES,"PVC insulated cable - 1100 volts, XLPE insulated cable -1100 volts",Hot Deformation,IS 10810 (Part 15)
21,ELECTRICAL- CABLES &WIRES,"PVC insulated cable - 1100 volts, XLPE insulated cable -1100 volts",Loss of Mass,IS 10810 (Part 10)
