0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,High Voltage Test,IS 13779(Cl 12.7.6.3) 2020
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,High Voltage Test,IS 15884 (Cl 5.4.6.3)2010: R.A 2015
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,High Voltage Test,IS 16444: Part 1 (Cl.6.10.6) 2015
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Insulation Resistance Test,IS 13779(Cl 12.7.6.4) 2020
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Insulation Resistance Test,IS 15884: 2010 (Cl 5.4.6.4) RA 2015
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Insulation Resistance Test,IS 16444 (Part 1) Cl.6.10.6
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Start Up Test of Energy Meters,IS 13779(Cl 11.4.1) 2020
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Start Up Test of Energy Meters,IS 15884 (Cl 4.6.4.1)2010: R.A 2015
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Start Up Test of Energy Meters,IS 16444 Part 1 (Cl 6.12)2015
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Test of Inuence of Heating,IS 13779(Cl 12.7.5) 2020
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Test of Inuence of Heating,IS 15884 (Cl 5.4.5) 2010:R.A 2015
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Test of Inuence of Heating,IS 16444 Part 1 (Cl 6.10.5) 2015
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Test of Inuence of Self Heating,IS 13779(Cl 12.7.4) 2020
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl-1.0,Test of Inuence of Self Heating,IS 15884 (Cl 5.4.4) 2010:R.A 2015
