0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",AC High Voltage Test,IS 14697
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",AC High Voltage Test,IS 16444 (Part 2)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Insulation Resistance test,IS 14697
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Insulation Resistance Test,IS 16444 (Part 2)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Inuence Quantities (i)Frequency Variation (ii) Voltage Variation (iii) 10 Percent of 3rd Harmonic in the Current (iv)Reverse Phase Sequence (v)Voltage Unbalance,IS 14697
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Inuence Quantities (i)Frequency Variation (ii) Voltage Variation (iii) 10 Percent of 3rd Harmonic in the Current (iv)Reverse Phase Sequence (v)Voltage Unbalance,IS 16444 (Part 2)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Meter Constant,IS 14697
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Meter Constant,IS 16444 (Part 2)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of no-Load Condition,IS 14697
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of no-Load Condition,IS 16444 (Part 2)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Power Consumption in Current Circuit,IS 14697
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Power Consumption in Current Circuit,IS 16444 (Part 2)
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Power Consumption in Voltage Circuit,IS 14697
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Power Consumption in Voltage circuit,IS 14697
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"AC Energy Meter (Class 0.2s, 0.5s and 1s)",Test of Power Consumption in Voltage Circuit,IS 16444 (Part 2)
