0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ROTATINGELECTRICALMACHINES,AC/DC Standalone Solar Powered Agriculture Water Pumps (1 HP to 10 HP),Computation of Total Head for Submersible Pump-Sets,"MNRE Guidelines on Testing Procedure for Solar Photovoltaic Water Pumping Systems,Annexure-B of Circular No. F. No. 41/3/2018 -SPV Division Dated 22.03.2023 (Clause 10.2)"
2,ELECTRICAL-ROTATINGELECTRICALMACHINES,AC/DC Standalone Solar Powered Agriculture Water Pumps (1 HP to 10 HP),Computation of Total Head for Surface (Mono-set) Pump,"MNRE Guidelines on Testing Procedure for Solar Photovoltaic Water Pumping Systems,Annexure-B of Circular No. F. No. 41/3/2018 -SPV Division Dated 22.03.2023 (Clause 10.1)"
3,ELECTRICAL-ROTATINGELECTRICALMACHINES,AC/DC Standalone Solar Powered Agriculture Water Pumps (1 HP to 10 HP),Constructional Features(SPV Array Fill Factor),"MNRE Guidelines on Testing Procedure for Solar Photovoltaic Water Pumping Systems,Annexure-A of Circular No. F. No. 41/3/2018 -SPV Division Dated 22.03.2023 (Clause 3.3.4)"
4,ELECTRICAL-ROTATINGELECTRICALMACHINES,AC/DC Standalone Solar Powered Agriculture Water Pumps (1 HP to 10 HP),Constructional Features(SPV Array Module Eciency),"MNRE Specification for Solar Photovoltaic Water Pumping Systems,Annexure-A of Circular No. F. No. 41/3/2018 -SPV Division Dated 22.03.2023 (Clause 3.3.4)"
5,ELECTRICAL-ROTATINGELECTRICALMACHINES,AC/DC Standalone Solar Powered Agriculture Water Pumps (1 HP to 10 HP),Constructional Features(SPV Array Module to Module Wattage Mismatch),"MNRE Guidelines on Testing Procedure for Solar Photovoltaic Water Pumping Systems,Annexure-A of Circular No. F. No. 41/3/2018 -SPV Division Dated 22.03.2023 (Clause 3.3.8)"
6,ELECTRICAL-ROTATINGELECTRICALMACHINES,AC/DC Standalone Solar Powered Agriculture Water Pumps (1 HP to 10 HP),Constructional Features(SPV Array Open Circuit Voltage & Max Peak Voltage),"MNRE Guidelines on Testing Procedure for Solar Photovoltaic Water Pumping Systems,Annexure-A of Circular No. F. No. 41/3/2018 -SPV Division Dated 22.03.2023 (Clause 3.3.1)"
7,ELECTRICAL-ROTATINGELECTRICALMACHINES,AC/DC Standalone Solar Powered Agriculture Water Pumps (1 HP to 10 HP),Constructional Features(SPV Array Overall Wattage Variation),"MNRE Guidelines on Testing Procedure for Solar Photovoltaic Water Pumping Systems,Annexure-A of Circular No. F. No. 41/3/2018 -SPV Division Dated 22.03.2023 (Clause 3.3.9)"
8,ELECTRICAL-ROTATINGELECTRICALMACHINES,AC/DC Standalone Solar Powered Agriculture Water Pumps (1 HP to 10 HP),Constructional Features(SPV Water Pumping System),"MNRE Guidelines on Testing Procedure for Solar Photovoltaic Water Pumping Systems,Annexure-A of Circular No. F. No. 41/3/2018 -SPV Division Dated 22.03.2023 (Clause 3.2)"
