0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Energy Meter ( 1 Phase & 3 Phase) Accuracy : Cl -0.2s, 0.5s & 1.0s",Test of Starting Condition,"IS 16444 Part 2 (Cl 6.12),"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl -0.2s, 0.5s & 1.0s",Start Up Test of Energy Meters,"IS 16444 Part 2 (Cl 6.12),"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Energy Meter ( 1 Phase & 3 Phase) Accuracy :Cl -0.2s, 0.5s & 1.0s",Test of noload Condition,IS 16444 Part 2 (Cl 6.12)
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy : Cl -1.0,Insulation Resistance Test,IS 13779(Cl 12.7.6.4)
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy : Cl -1.0,Start Up Test of Energy Meters,IS 13779(Cl 11.4.1)
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy : Cl -1.0,Test of Inuence of Heating,IS 13779(Cl 12.7.5)
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy : Cl -1.0,Test of Infulence of Self Heating,IS 13779(Cl 12.7.4)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) class 1 & 2,Test of Power Consumption,IS 13779(Cl 12.7.1)
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy : Cl -1.0 & 2.0,Test of Inuence Quantities - Voltage Variation,IS 13779(Cl 12.11)
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Energy Meter ( 1 Phase & 3 Phase) class 0.2s, 0.5s& 1.0s",Test of Repeatability of Errors,IS 16444 Part 2 (Cl 6.12)
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) class 1 & 2,Test of No-Load Condition,IS 15884 (Cl 5.6.3)
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) class 1 & 2,Test of Repeatability of Errors,IS 15884 (Cl 5.6.7)
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy : Cl -0.2s & 0.5s,Test of Meter Constant(0-20000 pulse),IS 16444 Part 2 (Cl 6.12)
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Energy Meter ( 1 Phase & 3 Phase) Accuracy : Cl -0.2s & 0.5s,High Voltage Test,IS 14697(Cl 12.7.6.3)
