0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electronics / Electrical / Electro Mechanical / Mechanical Equipment / Components, Aerospace",Cold temperature (775 x 825)mm square,"MIL-STD-810 H, Method 502-7"
2,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electronics, Electrical, Mechanical, Avionics Product,Ground Support product and Fire Protection Product",High temperature test (775 x 825) mm square,"MIL-STD-810 H, Method 501.7"
3,MECHANICAL- NOISE &VIBRATION,"Electronics / Electrical / Electro Mechanical / Mechanical Equipment / Components, Aerospace",Random Vibration Simulation,"JSS 50101, Test Number 24"
4,MECHANICAL- NOISE &VIBRATION,"Electronics / Electrical / Electro Mechanical / Mechanical Equipment / Components, Aerospace",Random Vibration Simulation,"JSS 55555, Test Number 28"
5,MECHANICAL- NOISE &VIBRATION,"Electronics / Electrical / Electro Mechanical / Mechanical Equipment / Components, Aerospace",Random Vibration Simulation,"MIL-HDBK-2164 A, Para 5.1.1"
6,MECHANICAL- NOISE &VIBRATION,"Electronics / Electrical / Electro Mechanical / Mechanical Equipment / Components, Aerospace",Random Vibration Simulation,"MIL-STD-202 H, Method 201204 & 214"
7,MECHANICAL- NOISE &VIBRATION,"Electronics / Electrical / Electro Mechanical / Mechanical Equipment / Components, Aerospace",Random Vibration Simulation,"MIL-STD-810 H, Method 514.8"
8,MECHANICAL- NOISE &VIBRATION,"Electronics / Electrical / Electro Mechanical / Mechanical Equipment / Components, Aerospace",Sinusoidal Vibration Simulation,"JSS 55555, Rev 03"
9,MECHANICAL- NOISE &VIBRATION,"Electronics / Electrical / Electro Mechanical / Mechanical Equipment / Components, Aerospace",Sinusoidal Vibration Simulation,"MIL-STD-810 H, Method 514.8"
10,MECHANICAL- NOISE &VIBRATION,"Electronics, Electrical, Mechanical, Avionics Product,Ground Support product and Fire Protection Product",Random Vibration,"JSS 55555, Test Number 28"
11,MECHANICAL- NOISE &VIBRATION,"Electronics, Electrical, Mechanical, Avionics Product,Ground Support product and Fire Protection Product",Random Vibration,"MIL-HDBK-2164 A, Para 5.1.1"
12,MECHANICAL- NOISE &VIBRATION,"Electronics, Electrical, Mechanical, Avionics Product,Ground Support product and Fire Protection Product",Random Vibration,"MIL-STD-202 H, Method 214 A"
13,MECHANICAL- NOISE &VIBRATION,"Electronics, Electrical, Mechanical, Avionics Product,Ground Support product and Fire Protection Product",Random Vibration,"MIL-STD-810 H, Method 514.8"
14,MECHANICAL- NOISE &VIBRATION,"Electronics, Electrical, Mechanical, Avionics Product,Ground Support product and Fire Protection Product",Random Vibration,"MIL-STD-810 H, Method 514.8"
15,MECHANICAL- NOISE &VIBRATION,"Electronics, Electrical, Mechanical, Avionics Product,Ground Support product and Fire Protection Product",Sine Sweep,"MIL-STD-810 H, Method 514.8"
