0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler (Electric vehicles),Electrical Fast Transient/Burstdisturbances conducted along AC and DC power lines(REESSmode),UNECE R10 revision 6-Amd.2
2,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler ( Electric vehicles),Conducted RF Emissions (CE)by voltage (LISN) method on AC/DC power ports -REESSMode,AIS004(part 3) revision 1/2019& amd.1
3,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler ( Electric Vehicles),Immunity to surges conductedalong AC and DC powerlines(REESS mode),AIS004(part 3) revision 1/2019& Amd.1
4,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler (Electric Vehicles),Electrical Fast Transient/Burstdisturbances conducted along AC and DC power lines(REESSmode),AIS004(part 3) revision 1/2019& Amd.1
5,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler (Electric vehicles),Conducted RF Emissions (CE)by voltage (LISN) method on AC/DC power ports -REESSMode,UNECE R10 revision 6-Amd. 2
6,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler (Electric vehicles),Immunity to surges conductedalong AC and DC powerlines(REESS mode),UNECE R10 revision 6-Amd.2
7,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler (Gaosoilne/Electric vehicles),O-board Radiated Emissions(RE),UNECE R10 revision 6-Amd.2
8,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler (Gasoline/Electric vehicles),O Board Radiated Emissions(RE),AIS004(part 3) revision 1/2019& Amd.1
9,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler (Gasoline/Electric Vehicles),"O Board Radiated Immunity(RI), ALSE Method",AIS004(part 3) revision 1/2019&Amd.1
10,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler (Gasoline/Electric vehicles),"O Board Radiated Immunity(RI), ALSE Method",UNECE R10 revision 6-Ammendment 2
11,ELECTRICAL- EMI / EMCTEST FACILITY,2 Wheeler Gasoline/Electric Vehicles,O Board Radiated Emissions(RE),AIS-004 (Part 3)/2009; Amds. 1& 2
12,ELECTRICAL- EMI / EMCTEST FACILITY,2 Wheeler Gasoline/Electric Vehicles,"O Board Radiated Immunity(RI), ALSE Method",AIS-004 (Part 3)/2009; Amds. 1& 2
13,ELECTRICAL- EMI / EMCTEST FACILITY,2 wheeler(Gasoline/Electric Vehicles),"O Board Radiated Immunity(RI), ALSE Method",ISO11451-2; edition 4.0
14,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies,Bulk current injection (BCI),UNECE R10 revision 6-Ammendment 2
15,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),Bulk current Injection (BCI),AIS-004 (Part 3)revision 1.0/2019 & amd.1
16,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),Bulk Current Injection (BCI),AIS-004 (Part 3)/2009; Amds. 1& 2
17,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),Bulk current Injection (BCI),ISO 11452-4 ; edition 5.0
18,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),Conducted RF Emissions (CE)by voltage(LISN) method,CISPR 25 edition 5.0
19,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),O Board Radiated Emissions(RE),AIS-004 (Part 3)/2009; Amds. 1& 2.
20,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),O Board Radiated Emissions(RE),AIS004(part 3) revision 1/2019& Amd.1
21,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),O Board Radiated Emissions(RE),CISPR25 ; edition 5.0
22,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),O Board Radiated Emissions(RE),UNECE R10 revision 6-Ammendment 2
23,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),"O Board Radiated Immunity(RI), ALSE Method",AIS-004 (Part 3)/2009; Amds. 1& 2
24,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),"O Board Radiated Immunity(RI), ALSE Method",AIS004(part 3) revision 1/2019& Amd.1
25,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),"O Board Radiated Immunity(RI), ALSE Method",ISO11452-2 ; edition 3.0
26,ELECTRICAL- EMI / EMCTEST FACILITY,Automotive(Electrical/Electronic Sub-Assemblies),"O Board Radiated Immunity(RI), ALSE Method",UNECE R10 Revision 6 - Amd. 2
