0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Conductor Resistance Test on Messenger Conductor,IS 14255 (Cl No. 10 & 6.5)
2,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,High Voltage Test,IS 10810 (Part 45)
3,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,High Voltage Test,"IS 14255 (Cl No. 10,10.2.k&11.2)"
4,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Hot Set test for XLPE Insulation,IS 14255 (Cl No. 10 & 5.1)
5,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Hot Set test,IS 10810 (Part 30)
6,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Insulation resistance (Volume Resistivity) test,"IS 14255 (Cl No. 10.2.j, 10 &5.1)"
7,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Insulation resistance Test,IS 10810 (Part 43)
8,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Resistance Test ( for Both Copper and Aluminium ),"IS 8130 (Cl No. 7.3, 7.3.1)"
9,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Tensile strength andelongation at break of Thermoplastic and Elastomeric Insulation and Sheath,IS 10810 (Part 7)
10,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Tensile strength andelongation at break test for XLPE insulation,"IS 14255(Cl No.10,10.2.g,5.1)"
11,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Tensile Test For Aluminium,IS 8130 (Cl No. 7.2.1)
12,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Test for thickness of Insulation,IS 14255 (Cl No. 10.2.f &7.2)
13,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Thickness of Thermoplastic and Elastomeric Insulation and Sheath,IS 10810 (Part 6)
14,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Wrapping Test on phase /street light conductor,IS 14255 (Cl No. 10)
15,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Wrapping Test,IS 8130: (Cl No. 7.2.2)
16,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Breaking Load Test on Messenger Conductor,IS 14255 (Cl No. 10 & 6.5)
17,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Conductor Resistance Test,IS10810 (Part 5)
18,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Elongation Test on Messenger Conductor,IS14255(Cl No.10 & 11.3)
19,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Resistance Test on phase /street light conductor,IS 14255 (Cl No. 10)
20,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Tensile Test for Aluminium Wire,IS 10810 (Part 2)
21,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Tensile test on phase / streetlight conductor,IS 14255 (Cl No. 10)
22,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables For Working Voltage upto and Including 1100 Volts,Wrapping Test for Aluminium Wire,IS 10810 (Part 3)
23,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Hot Set test,IS 10810 (Part 30)
24,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Annealing Test (for Copper),IS 7098 Part 1 (Cl No. 15.2.a)
25,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Annealing Test for Copper Conductor,IS 8130 (Cl No. 7.1.2.1)
26,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Annealing Test for wire used asconductor,IS 10810 (Part 1)
27,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Conductor Resistance Test,IS 10810 (Part 5)
28,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Conductor Resistance Test,IS 7098 Part 1 (Cl No. 15.2.d)
29,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),High Voltage Test,IS 10810 (Part 45)
30,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),High Voltage Test,IS 7098 Part 1(Cl No. 15.2.h)
31,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Hot Set test for Insulation,IS 7098 Part 1 (Cl No. 15.1.dand 15.2.f)
32,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Insulation resistance (Volume Resistivity) test,IS 7098 Part 1 (Cl No. 15.2.j &4.1)
33,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Insulation resistance (Volume Resistivity) test,IS 5831(cl 4.1)
34,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Insulation resistance test,IS:10810 (Part 43)
35,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Resistance Test for bothcopper and aluminium,IS 8130 (Cl No. 7.3)
36,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Tensile strength andelongation at break of Thermoplastic and Elastomeric Insulation and Sheath,IS 10810 (Part 7)
37,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Tensile Strength and Elongation at break test for Insulation and Sheath,IS 5831 ( Cl No. 4.1)
38,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Tensile Strength and Elongation at break test for Insulation and Sheath,IS 7098 Part 1 (Cl No. 15.2.g)
39,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Tensile Test,IS 10810 (Part 2)
40,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Test for thickness of Insulationand Sheath,"IS 7098 Part 1 (Cl No. 15.2.e),(Cl No. 9, 12.3, 14.3.1, 14.3.2)"
41,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Thickness of Thermoplastic and Elastomeric Insulation and Sheath,IS 10810 (Part 6)
42,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Wrapping Test,IS 8130 (Cl No. 7.2.2)
43,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Wrapping Test (For Aluminium),IS 7098 Part 1 (Cl No. 15.2.c)
44,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Wrapping Test,IS 10810 (Part 3)
45,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Tensile Test( For Aluminium),IS 7098 Part 1 (Cl No. 15.2.b)
46,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cablesfor Working Voltage upto and including 1100 V (XLPE and Control Cable),Tensile Test( For Aluminium),IS 8130 (Cl No. 7.2.1)
47,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cables(Working Voltage upto and including 1100 V)(XLPEand Control Cable),Insulation resistance (Volume Resistivity test),IS 5831 (cl 4.1)
48,ELECTRICAL- CABLES &WIRES,Cross Linked Polyethylene insulated PVC Sheathed Cables(Working Voltage upto and including 1100 V)(XLPEand Control Cable),Tensile Strength test for Insulation and Sheath,IS 10810 (Part 7)
68,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Applied Voltage Test,IS 2026 Part 3 (Cl No. 10)
69,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Induced Over Voltage Withstand Test,IS 1180 Part 1(Clause 21.2.f)
70,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Induced Voltage Withstand Test,IS 2026 Part 3 (Clause 11)
71,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of Insulationresistance,IS 1180 Part 1 (Cl No. 21.2.e)
72,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of Insulationresistance,IS 2026 Part 1 (Cl.10.1.3)
73,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of No load Lossand current,IS 1180 Part 1 (21.2.d)
74,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of No load Lossand current,IS 2026 Part 1 (Clause 10.5)
75,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of short- circuit Impedance and Load loss,IS 2026 Part 1 (Clause 10.4)
76,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of short- circuit Impedance and Load loss at 50percent and 100 percent load,IS 1180 Part 1 ( Cl.21.2.c)
77,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of Voltage Ratioand Check of phasedisplacement,IS 1180 Part 1 (Clause 21.2.b)
78,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of Voltage Ratioand Check of phasedisplacement,IS 2026 Part 1 (Clause 10.3)
79,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Measurement of Winding Resistance,IS 1180 Part 1(Cl 21.2.a)
80,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Separate Source Voltage Withstand Test,IS 1180 Part 1 (Clause 21.2.g)
81,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Temperature rise test,IS 1180 Part 1 (Cl 21.3.b)
82,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution Transformers UPTO 500 KVA, 11 KV",Temperature rise test,IS 2026 Part 2 (Clause 5.0)
