0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformer up to 33 k V,Lightning Impulse test with andwithout chopping,IS 16227 (Part 1) and (Part 2);IEC 61869 (Part 1) and (Part-2)
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformer up to 33 k V,Measurement of Winding Resistance,IS 16227 (Part 1) and (Part 2);IEC 61869 (Part 1) and (Part 2)
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformer up to 33 k V,Power frequency voltagewithstand test betweensections,IS 16227 (Part 1) and (Part 2);IEC 61869 (Part 1) and (Part 2)
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformer up to 33 k V,Power frequency voltagewithstand test on primaryterminals,IS 16227 (Part 1) and (Part 2);IEC 61869 (Part 1) and (Part 2)
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,Current Transformer up to 33 k V,Power frequency voltagewithstand test on secondaryterminals,IS 16227 (Part 1) and (Part 2);IEC 61869 (Part 1) and (Part 2)
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution and Power Transformers up to and including 5 MVA, 33 k V",Magnetic balance on threephase transformer,Section BB of CBIP Manual ontransformer
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution and Power Transformers up to and including 5 MVA, 33 k V",Neutral current measurement,Section B of CBIP Manual ontransformer
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution and Power Transformers up to and including 5 MVA, 33 k V",Pressure test,Section A of CBIP Manual ontransformer
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Distribution and Power Transformers up to and including 5 MVA, 33 k V",Vacuum test,Section A of CBIP Manual ontransformer
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry type transformer up to and including 15 MVA, 33 k V",Lightning Impulse test with andwithout chopping,"IS 2026 (Part 11), IEC 60076(Part 3); IEC 60076 (Part 11),IEC 60076 (Part 3)"
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry type transformer up to and including 5 MVA, 33 k V",Applied Voltage Test,"IS 2026 (Part 11), IEC 60076(Part 3); IEC 60076 (Part 11),IEC 60076 (Part 3)"
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry type transformer up to and including 5 MVA, 33 k V",Determination of Sound Level,"IS 2026 (Part 11), IEC 60076(Part 10); IEC 60076 (Part 11),IEC 60076 (Part 10)"
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry type transformer up to and including 5 MVA, 33 k V",Induced voltage withstand test,"IS 2026 (Part 11), IEC 60076(Part 3); IEC 60076 (Part 11),IEC: 60076 (Part 3)"
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry type transformer up to and including 5 MVA, 33 k V",Measurement of impedancevoltage/short circuitimpedance,"IS 2026 (Part 11), IEC 60076(Part 1); IEC 60076 (Part 11),IEC 60076 (Part 1)"
15,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry type transformer up to and including 5 MVA, 33 k V",Measurement of load loss,"IS 2026 (Part 11), IEC 60076(Part 1); IEC 60076 (Part 11),IEC 60076 (Part 1)"
