0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Conductor Diameter,IS 398 (Part-1) Clause 12.2
2,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Conductor Diameter,IS 8130 Clause 6.0
3,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Conductor Resistance (Every Core),IS 10810 (Part-5) Clause 8
4,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Elongation at Break of Insulation Before Aging,IS 10810 (Part-7) Clause 8
5,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Elongation of outer sheath Before Aging,IS 10810 (Part-7) Clause 8
6,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Hot Set(Elongation),IS 10810 (Part-30) Clause 8
7,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Hot Set(Permanent),IS 10810 (Part-30) Clause 8
8,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Insulation Thickness,IS 10810 (Part-6) Clause 8
9,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Outer sheath thickness,IS 10810 (Part-6) Clause 8
10,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Tensile Strength at Break of Insulation Before Aging,IS 10810 (Part-7) Clause 8
11,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cable,Tensile Strength outer sheath Before Aging,IS 10810 (Part-7) Clause 8
12,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Conductor Resistance (Every Core),IS 10810 (Part-5) Clause 8
13,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Elongation at Break of Insulation Before Aging,IS 10810 (Part-7) Clause 8
14,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Elongation of outer sheath Before Aging,IS 10810 (Part-7) Clause 8
15,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Insulation Thickness,IS 10810 (Part-6) Clause 8
16,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Outer sheath thickness,IS 10810 (Part-6) Clause 8
17,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Tensile Strength at Break of Insulation Before Aging,IS 10810 (Part-7) Clause 8
18,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Tensile Strength outer sheath Before Aging,IS 10810 (Part-7) Clause 8
19,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Wire Diameter (Aluminum),IS 398 (Part-1) Clause 12.2
20,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables,Wire Diameter (Aluminum),IS 8130 Clause 6.0
21,ELECTRICAL- CABLES &WIRES,PVC Insulated Cables,Conductor Resistance,IS 10810 (Part-5) Clause 8
22,ELECTRICAL- CABLES &WIRES,PVC Insulated Cables,Elongation at Break of Insulation Before Aging,IS 10810 (Part-7) Clause 8
23,ELECTRICAL- CABLES &WIRES,PVC Insulated Cables,Heat Shock,IS 10810 (Part-14) Clause 8
24,ELECTRICAL- CABLES &WIRES,PVC Insulated Cables,Insulation Thickness,IS 10810 (Part-6) Clause 8
25,ELECTRICAL- CABLES &WIRES,PVC Insulated Cables,Shrinkage,IS 10810 (Part-12) Clause 8
26,ELECTRICAL- CABLES &WIRES,PVC Insulated Cables,Tensile Strength at Break of Insulation Before Aging,IS 10810 (Part-7) Clause 8
27,ELECTRICAL- CABLES &WIRES,PVC Insulated Cables,Wire Diameter (Copper),IS 398 (Part-1) Clause 12.2
28,ELECTRICAL- CABLES &WIRES,PVC Insulated Cables,Wire Diameter (Copper),IS 8130 Clause 6.0
29,ELECTRICAL- WIRINGACCESSORIES,Conduit Pipe (PVC),Compression After Removing Load,IS 9537 (Part-1) Clause 9.3
30,ELECTRICAL- WIRINGACCESSORIES,Conduit Pipe (PVC),Compression on Load,IS 9537 (Part-1) Clause 9.3
31,ELECTRICAL- WIRINGACCESSORIES,Conduit Pipe (PVC),Inner Diameter,IS 9537 (Part-3) Clause 7.1
32,ELECTRICAL- WIRINGACCESSORIES,Conduit Pipe (PVC),Marking,IS 9537 (Part-1) Clause 6.4
33,ELECTRICAL- WIRINGACCESSORIES,Conduit Pipe (PVC),Outer Diameter,IS 9537 (Part-3) Clause 7.1
34,ELECTRICAL- WIRINGACCESSORIES,Conduit Pipe (PVC),Uniformity of Thickness,IS 9537 (Part-3) Clause 7.4
