0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical and Electronic (Static) Energy Meter Prepayment/ Smart Meters,Insulation Resistance/Insulation Test,"IS 13779:2020, IS14697:2021, IS15884:2010, IS 16444(Part 1):2015, IS 16444(Part 2): 2017, CBIPPublication No.: 304:2008(Withdrawn), CBIPPublication No.: 325:2015"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical and Electronic (Static) Energy Meter Prepayment/ Smart Meters,AC High Voltage Test,"IS 13779:2020, IS14697:2021, IS15884:2010, IS 16444(Part 1):2015, IS 16444(Part 2): 2017, CBIPPublication No.: 304:2008(Withdrawn), CBIPPublication No.:325:2015, IEC62052-11:2020, IEC62053-21:2020, IEC62053-22:2020, IEC62053-23:2020, IEC62053-24:2020, IEC62055-31:2022"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical and Electronic (Static) Energy Meter Prepayment/ Smart Meters,Running with no load/Test of no-load condition,"IS 13779:2020, IS14697:2021, IS15884:2010, IS 16444(Part 1):2015, IS 16444(Part 2): 2017, CBIPPublication No.: 304:2008(Withdrawn), CBIPPublication No.:325:2015, IEC62052-11:2020, IEC62053-21:2020, IEC62053-22:2020, IEC62053-23:2020, IEC62053-24:2020, IEC62055-31:2022"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical and Electronic (Static) Energy Meter Prepayment/ Smart Meters,Test of limits of errors/Test of Accuracyrequirement,"IS 13779:2020, IS14697:2021, IS15884:2010, IS 16444(Part 1):2015, IS 16444(Part 2): 2017, CBIPPublication No.: 304:2008(Withdrawn), CBIPPublication No.:325:2015, IEC62052-11:2020, IEC62053-21:2020, IEC62053-22:2020, IEC62053-23:2020, IEC62053-24:2020, IEC62055-31:2022"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical and Electronic (Static) Energy Meter Prepayment/ Smart Meters,Test of Meter Constant,"IS 13779:2020, IS14697:2021, IS15884:2010, IS 16444(Part 1):2015, IS 16444(Part 2): 2017, CBIPPublication No.: 304:2008(Withdrawn), CBIPPublication No.:325:2015, IEC62052-11:2020, IEC62053-21:2020, IEC62053-22:2020, IEC62053-23:2020, IEC62053-24:2020, IEC62055-31:2022"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical and Electronic (Static) Energy Meter Prepayment/ Smart Meters,Test of Power Consumption Test,"IS 13779:2020, IS14697:2021, IS15884:2010, IS 16444(Part 1):2015, IS 16444(Part 2): 2017, CBIPPublication No.: 304:2008(Withdrawn), CBIPPublication No.:325:2015, IEC62052-11:2020, IEC62053-21:2020, IEC62053-22:2020, IEC62053-23:2020, IEC62053-24:2020, IEC62055-31:2022"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical and Electronic (Static) Energy Meter Prepayment/ Smart Meters,Test of Repeatability of Errors,"IS 13779:2020, IS14697:2021, IS15884:2010, IS 16444(Part 1):2015, IS 16444(Part 2): 2017, CBIPPublication No.: 304:2008(Withdrawn), CBIPPublication No.:325:2015, IEC62052-11:2020, IEC62053-21:2020, IEC62053-22:2020, IEC62053-23:2020, IEC62053-24:2020, IEC62055-31:2022"
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical and Electronic (Static) Energy Meter Prepayment/ Smart Meters,"""Abnormal ac magneticinduction of externalorigin 10m T""","IS 13779:2020, IS14697:2021, IS15884:2010, IS 16444(Part 1):2015, IS 16444(Part 2): 2017, CBIPPublication No.: 304:2008(Withdrawn), CBIPPublication No.:325:2015,"
