0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meter and Electromechanical Energy meter 3 phase, 3 X63.5 V to 300 V,Ib:1 A to 120 A, class 0.2 and above and 1 phase, 63.5 V to 300 V, Ib:1 A to 120 A, class 0.2 and above",Eect of self-heating,"IS: 13779:2020, IS: 14697:2021, CBIP Report 325: 2015,IEC: 62053-21: 2020; IEC:62052-11: 2020; IEC:62053-22: 2020 & IEC:62053-23: 2020 & IEC:62053-11"
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meter and Electromechanical Energy meter 3 phase, 3 X63.5 V to 300 V,Ib:1 A to 120 A, class 0.2 and above and 1 phase, 63.5 V to 300 V, Ib:1 A to 120 A, class 0.2 and above",Test of meter constant,"IS: 13779 : 2020 & IS: 14697:2021, IS:16444:2017 &IS:16444: 2020, CBIP Report 325: 2015, IEC:62053-11:2016; IEC: 62053-21:2020; IEC: 62053-22: 2020;IEC: 62053-23: 2020 & IEC:62052-11"
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meter and Electromechanical Energy meter 3 phase, 3 X63.5 V to 300 V,Ib:1 A to 120 A, class 0.2 and above and 1 phase, 63.5 V to 300 V, Ib:1 A to 120 A, class 0.2 and above.",Heating / test of inuence ofheating,"IS: 14697: 2021 & IS: 13779:2020, CBIP Report 325: 2015 &IEC: 62052-11"
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meter and Electromechanical Energy meter 3 phase, 3 X63.5 V to 300 V,Ib:1 A to 120 A, class 0.2 and above and 1 phase, 63.5 V to 300 V, Ib:1 A to 120 A, class 0.2 and above.",Impulse voltage test,"IS: 13779:2020, IS: 14697:2021, IS:16444-1:2020 &IS:16444-2: 2017, IEC:62052-31:2020, IEC:61000-4-5:2017 & IEC: 60060"
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meter and Electromechanical Energy meter 3 phase, 3 X63.5 V to 300 V,Ib:1 A to 120 A, class 0.2 and above and 1 phase, 63.5 V to 300 V, Ib:1 A to 120 A, class 0.2 and above.",Inuence of supply voltage/voltage dips and interruptions,"IS: 13779: 2020, IS: 14697:2021, CBIP Report 325: 2015 &IEC: 62052-11"
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meter and Electromechanical Energy meter 3 phase, 3 X63.5 V to 300 V,Ib:1 A to 120 A, class 0.2 and above and 1 phase, 63.5 V to 300 V, Ib:1 A to 120 A, class 0.2 and above.",Insulation resistance /insulation test,"IS: 14697:2021, IS: 13779:2020, IS:16444:2017 &IS:16444: 2020, CBIP Report 325"
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meter and Electromechanical Energy meter 3 phase, 3 X63.5 V to 300 V,Ib:1 A to 120 A, class 0.2 and above and 1 phase, 63.5 V to 300 V, Ib:1 A to 120 A, class 0.2 and above.",Limits of errors / Test ofaccuracy requirement,"IS:13779:2020 & IS:14697:2021, IS:16444:2017 &IS:16444: 2020, CBIP Report 325: 2015, IEC: 62053-23:2020 ; IEC:62053-21: 2020;IEC:62053-11: 2016 &IEC:62053-22: 2020 &IEC:62052-11"
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical and Electronic (Static) Energy meter and Electromechanical Energy meter 3 phase, 3 X63.5 V to 300 V,Ib:1 A to 120 A, class 0.2 and above and 1 phase, 63.5 V to 300 V, Ib:1 A to 120 A, class 0.2 and above.",Power loss / powerconsumption,"IS: 14697:2021, IS:13779:2020, IS:16444-1:2020 &IS:16444-2: 2017, CBIP Report 325: 2015, IEC: 62053-22:2020, IEC: 62053-23 :2020,IEC: 62053-21: 2020 & IEC:62053-11: 2016 & IEC:62052-11"
