0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),a.c. High Voltage,"IS 16444 (Part 1), IS13779"
2,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),Initial Start-up of the Meter,"IS 16444 (Part 1), IS13779"
3,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),Insulation Resistance,"IS 16444 (Part 1), IS13779"
4,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),Limits of Error,"IS 16444 (Part 1), IS13779"
5,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),Meter Constant,"IS 16444 (Part 1), IS13779"
6,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),No-Load Condition,"IS 16444 (Part 1), IS13779"
7,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),Power Consumption,IS 16444 (Part 1)
8,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),Repeatability of Error,"IS 16444 (Part 1), IS13779"
9,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Direct Connected Watthour Smart Meters (Class 1 and 2),Starting Condition,"IS 16444 (Part 1), IS13779"
10,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2 S, 0.5 S and 1.0 S)",Limits of Error,"IS 16444 (Part 2), IS14697"
11,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour and Var-Hour Smart Meters (Class 0.2 S, 0.5 S and 1.0 S)",No-Load Condition,"IS 16444 (Part 2), IS14697"
12,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Meter Constant/Registration,IS 14697
13,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Running with No-Load/No-Load Condition,IS 14697
14,ELECTRICAL-ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Starting Conditions,IS 14697
