0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Composite Error (Class P& PR),"IEC 61869-2, Cl. 7.3.5.203"
2,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Composite Error (Class P& PR),"IS 16227 (Part 2),Cl.7.3.5.203"
3,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Determination of Secondary Winding Resistance,"IEC 61869-2, Cl. 7.3.201"
4,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Determination of Secondary Winding Resistance,"IS 16227 (Part 2), Cl.7.3.201"
5,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,"Error at limitingconditions (Class TPX, TPY& TPZ)","IEC 61869-2, Cl. 7.3.5.205"
6,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,"Error at limitingconditions (Class TPX, TPY& TPZ)","IS 16227 (Part 2), Cl.7.3.5.205"
7,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Exciting Current at Ek,"IEC 61869-2, Cl. 7.3.203"
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Exciting Current at Ek,"IS 16227 (Part 2), Cl 7.3.203"
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Instrument Security Current test,"IEC 61869-2, Cl. 7.2.6.202"
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Instrument Security Current test,"IS 16227 (Part 2), Cl.7.2.6.202"
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Instrument Security factor,"IEC 61869-2, Cl. 7.2.6.202"
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Instrument Security factor,"IS 16227 (Part 2), Cl.7.2.6.202"
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Measurement of Capacitance & Tan Delta,"IEC 61869-1, Cl. 7.4.3"
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Measurement of Capacitance & Tan Delta,"IEC 61869-2, Cl. 7.4.3"
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Measurement of Capacitance & Tan Delta,"IS 16227 (Part 2), Cl.7.4.3"
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current Transformers up to 400k V Class,Over-voltage inter-turntest,"IEC 61869-2, Cl. 7.3.204"
