0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cable,Hot Set Test,IS 10810 (Part 30)
2,ELECTRICAL- CABLES& WIRES,Aerial bunched Cable,Hot Set Test,IS 14255 + AMD.1
3,ELECTRICAL- CABLES& WIRES,Aerial bunched test,Conductor resistance test,IS 14255 + AMD.1
4,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Annealing test (forcopper),IS 7098 (Part 1) + AMD.5
5,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Conductor resistance test,IS 7098 (Part 1) + AMD.5
6,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Core identication,IS 7098 (Part 1) + AMD.5
7,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Flammability test,IS 7098 (Part 1) + AMD.5
8,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,High Voltage Test (at Room Temperature),IS 7098 (Part 1) + AMD.5
9,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Identication,IS 7098 (Part 1) + AMD.5
10,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Insulation Resistance Test,IS 7098 (Part 1) + AMD.5
11,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Physical tests oninsulation & sheath:Thickness of insulationand sheath/ Overall Dimensions,IS 7098 (Part 1) + AMD.5
12,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Tensile Strength (foraluminium),IS 7098 (Part 1) + AMD.5
13,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Tensile strength andelongation at break ofinsulation and sheath,IS 7098 (Part 1) + AMD.5
14,ELECTRICAL- CABLES& WIRES,Cross-linked polyethylene (XLPE) insulated and PVC sheathed cables,Wrapping test (foraluminium),IS 7098 (Part 1) + AMD.5
15,ELECTRICAL- CABLES& WIRES,Elastomer Cables for use in mines,Armour resistance test(for mining wire),IS 1554 (Part 1) + AMD.5
16,ELECTRICAL- CABLES& WIRES,Electric Cables,Annealing Test (for wiresused as conductors),IS 10810 (Part 1)
17,ELECTRICAL- CABLES& WIRES,Electric Cables,Conductor resistance test(for copper andaluminium conductors),IS 10810 (Part 5)
18,ELECTRICAL- CABLES& WIRES,Electric Cables,Flammability Test,IS 10810 (Part 53)
19,ELECTRICAL- CABLES& WIRES,Electric Cables,High Voltage Test,IS 10810 (Part 45)
20,ELECTRICAL- CABLES& WIRES,Electric Cables,Insulation resistance test,IS 10810 (Part 43)
21,ELECTRICAL- CABLES& WIRES,Electric Cables,Tensile strength andelongation at break ofthermoplastic andelastomeric insulationand sheath,IS 10810 (Part 7)
22,ELECTRICAL- CABLES& WIRES,Electric Cables,Tensile Test (For Aluminum Wires),IS 10810 (Part 2)
