0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2,Insulation Resistance test,Cl. 6.10.6 IS 16444 (Part 1):2015 (Amd 3) RA 2020
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,a.c. high voltage test,Cl. 6.10.6 IS 16444 (Part 1):2015 (Amd 3) RA 2020
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Clearance and Creepage Distances,Cl. 6.3 IS 16444 (Part 1): 2015(Amd 3) RA
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Fast transient burst test,Cl. 6.11 IS 16444 (Part 1): 2015(Amd 3) RA 2020
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,General and constructional Requirements,Cl. 6.2 IS 16444 (Part 1): 2015(Amd 3) RA 2020
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Impulse voltage test,Cl. 6.10.6 IS 16444 (Part 1):2015 (Amd 3) RA 2020
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Interpretation of test result,Cl. 6.12 IS 16444 (Part 1): 2015(Amd 3) RA 2020
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Spring hammer test,Cl. 6.5 IS 16444 (Part 1): 2015(Amd 3) RA 2020
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Surge Immunity Test,Cl. 6.11 IS 16444 (Part 1): 2015(Amd 3) RA 2020
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Test of ambient temperatureinuence,Cl. 6.12 IS 16444 (Part 1): 2015(Amd 3) RA 2020
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Test of inuence of heating,Cl. 6.10.5 IS 16444 (Part 1):2015 (Amd 3) RA 2020
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Test of inuence of immunityto earth fault,Cl. 6.10.7 IS 16444 (Part 1):2015 (Amd 3) RA 2020
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,a.c. Static Connected Watthour Smart Meter Class 1 and 2 Specification,Test of inuence of self-heating,Cl. 6.10.4 IS 16444 (Part 1):2015 (Amd 3) RA 2020
