0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMCTEST FACILITY,Aero Equipment,Conducted Emission Test(CE),DO 160 G (Section 21)
2,ELECTRONICS- EMCTEST FACILITY,Aero Products,Power Input,DO 160 G ( section 16)
3,ELECTRONICS- EMCTEST FACILITY,Automation-Marine Equipment,Conducted RFSusceptibility Test,DNV No 2.4
4,ELECTRONICS- EMCTEST FACILITY,Automation-Marine Equipment,Electrical Fast Transient Test,DNV No 2.4
5,ELECTRONICS- EMCTEST FACILITY,Automation-Marine Equipment,Surge Immunity,DNV No 2.4
6,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Bulk Current Injection Test,ISO 11452-4: ED.5.0
7,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Bulk Current Injection Test,UNECE Regulation 10 Revision 6
8,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Emission Test(CE),AIS 004
9,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Emission Test(CE),AIS004
10,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Emission Test(CE),CISPR 25
11,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Emission Test(CE),ISO 7637-2 (Edition 2 Transient)
12,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Emission Test(CE),UNECE Regulation 10 Revision 5
13,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Emission Test(CE),UNECE Regulation 10 Revision 6
14,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted RFSusceptibility Test,AIS 004
15,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Transient Emission Test (CE),ISO 7637-2
16,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Transient Emission Test (CE),UNECE Regulation 10 Revision 5
17,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Conducted Transient Emission Test (CE),UNECE Regulation 10 Revision 6
18,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Electrical Fast Transient Test,UNECE Regulation 10 Revision 5
19,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Electrical Fast Transient Test,UNECE Regulation 10 Revision 6
20,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Electrostatic Discharge Immunity Test (ESD),AIS 004
21,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Electrostatic Discharge Immunity Test (ESD),ISO 10605:2008/AMD1:2014
22,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Flicker,AIS 004
23,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Flicker,UNECE Regulation 10 Revision 6
24,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Flicker Emission Test,UNECE Regulation 10 Revision 5
25,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Harmonic Currentemission,AIS 004
26,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Harmonic Currentemission,UNECE Regulation 10 Revision 5
27,ELECTRONICS- EMCTEST FACILITY,Automotive Equipment,Harmonic Currentemission,UNECE Regulation 10 Revision 6
