0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMC TESTFACILITY,Electrical/Electronic Product,RF Radiated Susceptibility Test,IEC 61000-6-1
2,ELECTRONICS- EMC TESTFACILITY,Electrical / Electrical Product,Conducted Emission Test,IEC 60571
3,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Equipment System / Subsystem,"Conducted Susceptibility Damped Sinusoidal Transients,Cable and Power Lead",CS116-MIL-STD-461 G
4,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Equipment System / Subsystem,"Conducted Susceptibility Damped Sinusoidal Transients,Cable and Power Lead",CS118-MIL-STD-461 G
5,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Equipment System Subsystem,Conducted Susceptibility Bulk Cable Injection impulse Excitation,CS115-MIL-STD-461 G
6,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted Emission Test,BS EN 50121-4:2016+A1
7,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted Emission Test,IEC 60945
8,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted Emission Test,IEC 62236-3-2
9,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted RF Susceptibility Test,BS EN 50121-3-2:2016+A1
10,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted RF Susceptibility Test,BS EN 50121-4:2016+A1
11,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted RF Susceptibility Test,IEC 60571
12,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted RF Susceptibility Test,IEC 62236
13,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted RF Susceptibility Test,IEC 62236-3-2
14,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted Susceptibility Bulk Cable Injection,CS114-MIL-STD-461 G
15,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted Susceptibility Powerleads,CS 101-MIL-STD-461 G
16,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Conducted Susceptibility Structure Current,CS 109-MIL-STD-461 G
17,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Electrical Fast Transient (EFT) /Burst Immunity Test,BS EN 50121-3-2:2016+A1
18,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Electrical Fast Transient (EFT) /Burst Immunity Test,BS EN 50121-4:2016+A1
19,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Electrical Fast Transient (EFT) /Burst Immunity Test,IEC 60571
20,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Electrical Fast Transient (EFT) /Burst Immunity Test,IEC 62236-3-2
21,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Electrostatic Discharge Immunity Test,BS EN 50121-3-2:2016+A1
22,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Electrostatic Discharge Immunity Test,BS EN 50121-4:2016+A1
23,ELECTRONICS- EMC TESTFACILITY,Electrical / Electronic Product,Electrostatic Discharge Immunity Test,IEC 60571
