0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- EMC TESTFACILITY,Defense Subsystem/Equipment,"Radiated emissions, antennaspurious and harmonicoutputs.",RE103-MILSTD461 E:1999/MILSTD/ 461 F:2007/MIL-STD 461 G
2,ELECTRONICS- EMC TESTFACILITY,Defense Subsystem/Equipment,"Radiated emissions, magneticeld",RE101-MIL-STD 461 E:1999/MIL-STD 461 F:2007/ MIL-STD 461 G
3,ELECTRONICS- EMC TESTFACILITY,Defense Subsystem/Equipment,"Radiated emissions, electriceld",RE102-MIL-STD 461 E:1999/MIL-STD 461 F:2007/MIL-STD 461 G
4,ELECTRONICS- EMC TESTFACILITY,Electric Vehicle Conductive AC Charging System,Conducted Emission Test,AIS 138 Part 1:2017/AIS 138 Part 2:2018/ IEC 61851-21-2
5,ELECTRONICS- EMC TESTFACILITY,Electric Vehicle Conductive AC Charging System,"DC Voltage dips, Short Interruption & Voltage Variations Immunity test",AIS 138 Part 2
6,ELECTRONICS- EMC TESTFACILITY,Electric Vehicle Conductive AC Charging System,Harmonic Current Emissiontest,ECER10.06:2019/AIS 138 Part 1: 2017/IEC 61851- 21-2
7,ELECTRONICS- EMC TESTFACILITY,Electric Vehicle Conductive AC Charging System,High Energy Immunity test,AIS 138 Part 1:2017/AIS 138 Part 2:2018/ IEC61851-21-2:2018/ECER10.05:2014/ECER 10.06
8,ELECTRONICS- EMC TESTFACILITY,Electric Vehicle Conductive AC Charging System,Electrical Fast Transient (EFT)/Burst Immunity test,AIS 138 Part 1:2017/AIS 138 Part 2
9,ELECTRONICS- EMC TESTFACILITY,Electric Vehicle Conductive AC Charging System,Electrical Fast Transient (EFT)/Burst Immunity test,IEC 61851-21-2
10,ELECTRONICS- EMC TESTFACILITY,Electric Vehicle Conductive AC Charging System,Conducted RF Susceptibility/Bulk Current Injection test,IEC 61851-21-2
11,ELECTRONICS- EMC TESTFACILITY,Electrical Lighting & Similar Equipment,Conducted Emission,BS EN 55015+A11:2020/BS
12,ELECTRONICS- EMC TESTFACILITY,Electrical/Electr oncs sub assembly(ESA),Conducted RF Susceptibility/Bulk Current Injection test,ISO 11452- 4:2020/SAEJ1113-4
13,ELECTRONICS- EMC TESTFACILITY,Electrical/Electr onics Sub assembly(ESA) and Vehicle,Radiated Emission test,95/54/EC/ 97/24/EC / SAEJ1113-41:2006/GR1089:2017/AIS004:part 3:2015/ECER10.05:2014/ AIS138 Part 1:2017/ Part 2: 2018/IEC 61851-21-2
14,ELECTRONICS- EMC TESTFACILITY,Electrical/Electronic Subassembly(ESA),Conducted RF Susceptibility/Bulk Current Injection test,ECER10.4:2020/ AIS 004(Part 3)rev
15,ELECTRONICS- EMC TESTFACILITY,Electrical/Electronic Product,Damped Oscillatory Magnetic Field test,IEC 61000-4-10:2016/BS EN61000-4-10
16,ELECTRONICS- EMC TESTFACILITY,Electrical/Electronics Product,Damped Oscillatory Magnetic Field test,IEC 61000-4-10:2016/BS EN61000-4-10
17,ELECTRONICS- EMC TESTFACILITY,Electrical/Electronics subassembly and Vehicle,RF Radiated Susceptibility test,IEC 61851-21-2
