0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Battery Management System (BMS),Thermal shock andcycling Test,AIS 156:2022 Amendment-2 (Clause:Annex 8 B)
2,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Components equipment or other articles to beused, transported or stored at low temperature",Damp Heat Test,IEC 60068-2-30
3,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Components equipment or other articles to beused, transported or stored at low temperature",Dry Heat Test,IEC 60068-2-2
4,ELECTRONICS-ENVIRONMENTALTEST FACILITY,"Components equipment or other articles to beused, transported or stored at low temperature.",Cold Test,IEC 60068-2-1
5,ELECTRONICS-ENVIRONMENTALTEST FACILITY,High Voltage On-Board Vehicle Electrical Wiring Harnesses,High Temperature Exposure Test,SAE J1742:2022 (Clause 5.6.3)
6,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Road Vehicles - Electrical and Electronicequipment,Environmental Electricalload Tests,ISO 16750-2 2023(Clause: 4)
7,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Road Vehicles - Electrical and Electronicequipment,"Humid Heat, Cyclic test",ISO 16750-4 2023(Clause: 5.6)
8,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Road Vehicles - Electrical and Electronicequipment,Temperature Cycling Tests,ISO 16750-4 2023(Clause: 5.3)
9,ELECTRONICS-ENVIRONMENTALTEST FACILITY,Road Vehicles - Electrical and Electronicequipment,Tests at constanttemperature Test,ISO 16750-4 2023(Clause:5.1)
10,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Back feeds Test,LV124-2013 (Clause 6.21.E21)
11,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Closed Circuit current Test,LV124-2013 (Clause 6.19.E19)
12,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Connector interruption Test,LV124-2013 (Clause 6.14.E14)
13,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Ground oset Test,LV124-2013 (Clause 6.16.E16)
14,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Insulation Resistance Test,LV124-2013 (Clause 6.18.E18)
15,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Jump Start Test,LV124-2013 (Clause 6.4.E-04)
16,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Load Dump Test,LV124-2013 (Clause 6.5.E-05)
17,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Long-term Over Voltage Test,LV124-2013 (Clause 6.1.E-01)
18,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Reset Behavior Test,LV124-2013 (Clause 6.9.E-09)
19,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Reverse Polarity Test,LV124-2013 (Clause 6.15.E15)
20,ELECTRONICS-MISCELLANEOUSPRODUCTS,12 V onboard Electrical System,Slow decrease abruptincrease of the supplyvoltage test,LV124-2013 (Clause 6.8.E-08)
