0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Islanding detection,EN 50549-10:2022 Cl 5.8.6.2
2,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Active methods testedwith a resonant circuit,EN50549-1:2019+A1:2023 Cl 4.9.4.2
3,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Active power reduction onset point - Vericationprocedure,EN 50549-10:2022 Cl 5.10.3
4,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Anti-Islanding Test,IEC/BS EN 62116:2014 CI6
5,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Anti-Islanding Test,IS 16169:2019 CI 6
6,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Automatic reconnectionafter tripping -Verication Procedure,EN 50549-10:2022 Cl 5.9.3.1
7,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Automatic reconnectionafter tripping (Reconnect),EN50549-1:2019+A1:2023 Cl 4.10.2
8,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Ceasing and reduction ofactive power on set point,EN50549-1:2019+A1:2023 Cl 4.11
9,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Clusters of single-phasegenerating units,EN50549-1:2019+A1:2023 Cl A.3
10,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Continuous operatingvoltage range,EN50549-1:2019+A1:2023 Cl 4.4.4
11,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Control modes,EN50549-1:2019+A1:2023 Cl 4.7.2.3
12,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,DC Injection,IS/IEC 61727:2004 Cl 4.4
13,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Direct current injection,EN50549-1:2019+A1:2023 Cl 4.8
14,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Eciency calculations,IEC 61683:1999 Cl 5
15,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,"Fault ride through, over-voltage (OVRT) andunder-voltage (UVRT)",EN 50549-10:2022 Cl 5.3.2
16,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,"Fault ride through, over-voltage (OVRT) andunder-voltage (UVRT)",EN 50549-10:2022 Cl 5.3.3
17,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Frequency Operatingrange,EN 50549-10:2022 Cl 5.2.1
18,ELECTRONICS-MISCELLANEOUSPRODUCTS,Utility-Interconnected photovoltaic powersystems,Harmonics and waveformdistortion,IS/IEC 61727:2004 Cl 4.6
