0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Air,Microbial Load,ISO 14698 : 1
2,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Detection of Bacteria in Swab,Listeria monocytogenes,ISO11290-1
3,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Detection of Bacteria in Swab,Salmonella sp,ISO 6579-1
4,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Enumeration of Bacteria in Swab,E.Coli,FNES3(F8) PHE METHOD
5,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Enumeration of Bacteria in Swab,Staphylococcus aureus,ISO 6888-1
6,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Enumeration of Bacteria in Swab,Total coliform,ISO 4832:2006
7,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Enumeration of Bacteria in Swab,Total Plate Count,ISO 4833-1
8,BIOLOGICAL-ENVIRONMENT ANDPOLLUTION,Enumeration of Yeast and Mould in Swab,Yeast and Mould,ISO 21527-1
9,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,"Fresh ,Dried or dehydrated,ground orpowdered,extracted,wet ground(paste)/preserved orpickled",Enterobacteriaceae,ISO:21528-2
10,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,"Fresh vegetables,Cut and minimally processed andpacked,including juices,fermented or pickled or acidied orwith preservatives,pasteurized juices,frozenvegetables,dehydrated and dried vegetables,thermallyprocessed vegetables,retort processed",Total plate count,IS 5402
11,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Bakery and confectionery product,Enterobacteriaceae,ISO 21528- 2
12,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Bakery and confectionery product,Listeria monocytogenes,IS 14988(Part 1)
13,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Bakery and confectionery product,Mould count,IS 5403
14,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Bakery and confectionery product,Salmonella,IS 5887 (Part 3)
15,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Bakery and confectionery product,Staphylococcus aureus,"IS 5887(Part 8,Sec 1)"
16,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Bakery and confectionery product,Yeast count,IS 5403
17,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Beverage,Coliform count,IS5401(PART1)
18,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Beverage,Mould Count,IS 5403
19,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Beverage,Total Plate Count,IS 5402
20,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Beverages,Listeria monocytogenes,IS14988 PART 1
21,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Beverages,Yeast Count,IS 5403
22,BIOLOGICAL- FOOD ANDAGRICULTURALPRODUCTS,Beverages alcoholic and non alcoholic,Salmonella,IS 5887 PART 3
