0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Immersion,"JSS 5855-11 (Rev No. 01, Test No. 11)"
2,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Bump Test,"JSS 55555 (Rev No. 04, Test No. 05)"
3,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Bump Test,"JSS 5855-11 (Rev No. 01, Test No. 03)"
4,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Contamination Test,"JSS 55555 (Rev No. 4, Test No.06)"
5,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Contamination Test,"JSS 5855-11 (Rev No. 01, Test No. 04)"
6,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Corrosion - Salt,"SD:QM-333 (Issue No. 03, Test No. 09)"
7,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Corrosion (Salt/Salt Fog),"JSS 5855-11 (Rev No. 01, Test No. 05)"
8,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Corrosion Test (Salt / Salt Fog),"JSS 55555 (Rev 04, Test No.09)"
9,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Damp Heat (Steady State),"SD:QM-333 (Issue No. 03, Test No. 05)"
10,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Damp Heat Test,"JSS 55555 (Rev No. 04, Test No. 10)"
11,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Damp Heat Test,"JSS 5855-11 (Rev No. 01, Test No. 06)"
12,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Driving Rain,"JSS 55555 (Rev No. 04, Test No. 12)"
13,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Driving Rain,"JSS 5855-11 (Rev No. 01, Test No. 07)"
14,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Drop Test,"JSS 55555 (Rev No. 04, Test No. 13)"
15,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Drop Test,"JSS 5855-11 (Rev No. 01, Test No. 08)"
16,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Drop Test,"SD:QM-333 (Issue No. 03, Test No. 10)"
17,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Dust Test,"JSS 55555 (Rev No. 04, Test No. 14)"
18,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Dust Test,"JSS 5855-11 (Rev No. 01, Test No. 09)"
19,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Dust Test,"SD:QM-333 (Issue No. 03, Test No. 15)"
20,ELECTRICAL-ENVIRONMENTAL TESTFACILITY,Aerospace and Defence Products,Fall Test,"SD:QM-333 (Issue No. 03, Test No. 12)"
