0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Ageing of terminal lugsand in-line splices bytemperature and currentcycling,EN 2591-218
2,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Air Leakage,EN 2591-312
3,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Articial Rain,EN 2591-313
4,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Axial Load,EN 2591-405
5,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Climatic Sequence,EN 2591-302
6,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Cold,EN 2591-310
7,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Cold/Low Pressure and Damp Heat,EN 2591-303
8,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Connector rearaccessories threadstrength,EN 2591-423
9,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact bending strength,EN 2591 part D16
10,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact bending strength,EN 2591-416
11,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact Deformation aftercrimping,EN 2591 Part E3
12,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact deformation aftercrimping,EN 2591-503
13,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact protectioneectiveness( scoop-proof),EN 2591-505
14,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact retention andextraction forces,EN 2591-412
15,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact retention in insert,EN 2591-409
16,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact retention systemeectiveness,EN 2591-426
17,ELECTRONICS-ELECTRONICCOMPONENTS &EQUIPMENT SUBASSEMBLIES,Aerospace series Elements of Electrical and Optical Connection,Contact retention test,EN 2591-D26
