0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Granule,Ash,IS 1350 (Part 1)
2,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Granule,Liquid Density,"EAMPL/QC/WI/013 Issue Date: 25.07.2024, Rev No. 02"
3,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Granule,Moisture,ASTM D3173
4,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Granule,Sieve Analysis (10.0 mmto 12.5 mm),ASTM D5709
5,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Granule,Volatile Matter Content(VMC),IS 1350 (Part 1)
6,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Powder,Ash,IS 1350 (Part 1)
7,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Powder,Liquid Density,"EAMPL/QC/WI/013 Issue Date: 25.07.2024, Rev No. 02"
8,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Powder,Moisture,ASTM D3173
9,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Powder,Particle Size (D50),ISO 13320
10,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Powder,Surface Area,IS 11578
11,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Powder,Tap Density,ASTM B527-24
12,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Coke Powder,Volatile Matter Content(VMC),IS 1350 (Part 1)
13,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Graphite,Ash,ASTM C561-23
14,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Graphite,Liquid Density,"EAMPL/QC/WI/013 Issue Date: 25.07.2024, Rev No. 02"
15,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Graphite,Moisture,ASTM C562-23
16,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Graphite,Particle Size (D50),ISO 13320
17,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Graphite,Surface Area,IS 11578
18,CHEMICAL-INDUSTRIAL & FINECHEMICALS,Graphite,Tap Density,ASTM B527-23
19,ELECTRICAL- CELLS &BATTERIES,Coin Cell Battery,Discharge Specic Capacity,"EAMPL/QC/WI/021 Issue Date: 27.10.2023, Rev No. 03"
20,ELECTRICAL- CELLS &BATTERIES,Coin Cell Battery,First Cycle Eciency,"EAMPL/QC/WI/021 Issue Date: 27.10.2023, Rev No. 03"
