0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- BUILDINGMATERIAL,Cement,Alumina,IS 4032 (Cl. No. 4.6.1)
2,CHEMICAL- BUILDINGMATERIAL,Cement,Calcium Oxide,IS 4032 (Cl No. 4.7.2)
3,CHEMICAL- BUILDINGMATERIAL,Cement,Ferric Oxide,IS 4032 (Cl. No. 4.5.1)
4,CHEMICAL- BUILDINGMATERIAL,Cement,Insoluble residue,IS 4032
5,CHEMICAL- BUILDINGMATERIAL,Cement,Loss on Ignition,IS 4032
6,CHEMICAL- BUILDINGMATERIAL,Cement,Magnesia,IS 4032 (Cl. No. 4.8.2)
7,CHEMICAL- BUILDINGMATERIAL,Cement,Silica,IS 4032
8,CHEMICAL- BUILDINGMATERIAL,Cement,Sodium Oxide & Potassium Oxide content,IS 4032
9,CHEMICAL- BUILDINGMATERIAL,Cement,Sulphuric Anhydride,IS 4032
10,CHEMICAL- LEATHER,Leather,Bound organic substance,IS 582 (LC 21)
11,CHEMICAL- LEATHER,Leather,Chromic Oxide,IS 582 (LC 10)
12,CHEMICAL- LEATHER,Leather,Degree of tannage,IS 582 (LC 21)
13,CHEMICAL- LEATHER,Leather,Dierential Number,IS 582 (LC 18)
14,CHEMICAL- LEATHER,Leather,Free Formaldehyde Content,IS 582 (LC 14)
15,CHEMICAL- LEATHER,Leather,Heat Resistance,IS 5677 (Appendix A)
16,CHEMICAL- LEATHER,Leather,Hide Substance,IS 582 (LC 5)
17,CHEMICAL- LEATHER,Leather,p H Value of Aqueous Extract,EN ISO 4045
18,CHEMICAL- LEATHER,Leather,p H Value of Aqueous Extract,IS 582 (LC 18)
19,CHEMICAL- LEATHER,Leather,Solvent Extractable Substance,IS 582 (LC 4)
20,CHEMICAL- LEATHER,Leather,Total Ash,IS 582 (LC 3)
21,CHEMICAL- LEATHER,Leather,Total Chlorides Content,IS 582 (LC 19)
22,CHEMICAL- LEATHER,Leather,Total Sulphate Content,IS 582 (LC 20)
23,CHEMICAL- LEATHER,Leather,Volatile Matter,IS 582 (LC 1)
24,CHEMICAL- LEATHER,Leather,Water Insoluble Ash,IS 582 (LC 8)
25,CHEMICAL- LEATHER,Leather,Water Soluble Matter,IS 582 (LC 6)
26,CHEMICAL- LEATHER,Leather,Water soluble organicsubstance,IS 582 (LC 9)
27,CHEMICAL- ORES &MINERALS,Aluminium/Bauxite Ores,Ferric Oxide (Fe 2 O3),IS 2000 (Part 4)
28,CHEMICAL- ORES &MINERALS,Aluminium/Bauxite Ores,Alumina (Al 2 O3),IS 2000 (Part 3)
29,CHEMICAL- ORES &MINERALS,Aluminium/Bauxite Ores,Loss on Ignition,IS 2000 (Part 1)
30,CHEMICAL- ORES &MINERALS,Aluminium/Bauxite Ores,Silica (Si O2),IS 2000 (Part 2)
31,CHEMICAL- ORES &MINERALS,Gypsum,Calcium Oxide,IS 1288
32,CHEMICAL- ORES &MINERALS,Gypsum,Calcium Sulphate,IS 1288
33,CHEMICAL- ORES &MINERALS,Gypsum,Combined Water,IS 1288
34,CHEMICAL- ORES &MINERALS,Gypsum,Free Water,IS 1288
35,CHEMICAL- ORES &MINERALS,Gypsum,Iron and Alumina (as Oxide),IS 1288
36,CHEMICAL- ORES &MINERALS,Gypsum,Magnesium Oxide,IS 1288
37,CHEMICAL- ORES &MINERALS,Gypsum,Silica and other Insolubles,IS 1288
38,CHEMICAL- ORES &MINERALS,Gypsum,Sodium Chlorides,IS 1288
39,CHEMICAL- ORES &MINERALS,Gypsum,Sulphur trioxide,IS 1288
40,CHEMICAL- ORES &MINERALS,Iron Ores,Alumina (Al 2 O3),IS 1493 (Part 1)
41,CHEMICAL- ORES &MINERALS,Iron Ores,Ferrous Oxide (Fe O),IS 1493
42,CHEMICAL- ORES &MINERALS,Iron Ores,Iron,IS 1493 (Part 1)
43,CHEMICAL- ORES &MINERALS,Iron Ores,Loss on Ignition,ISO 11536
44,CHEMICAL- ORES &MINERALS,Iron Ores,Moisture,IS 1493 (Part 1)
45,CHEMICAL- ORES &MINERALS,Iron Ores,Phosphorus,IS 1493 (Part 1)
46,CHEMICAL- ORES &MINERALS,Iron Ores,Silica (Si O2),IS 1493 (Part 1)
47,CHEMICAL- ORES &MINERALS,Limestone & Dolomite,Alumina (Al 2 O3),IS 1760 (Part 3)
48,CHEMICAL- ORES &MINERALS,Limestone & Dolomite,Calcium Oxide (Ca O),IS 1760 (Part 3)
49,CHEMICAL- ORES &MINERALS,Limestone & Dolomite,Ferric Oxide (Fe 2 O3),IS 1760 (Part 3)
50,CHEMICAL- ORES &MINERALS,Limestone & Dolomite,Loss on Ignition,IS 1760 (Part 1)
51,CHEMICAL- ORES &MINERALS,Limestone & Dolomite,Magnesium Oxide (Mg O),IS 1760 (Part 3)
52,CHEMICAL- ORES &MINERALS,Limestone & Dolomite,Silica (Si O2),IS 1760 (Part 2)
53,CHEMICAL- ORES &MINERALS,Manganese Ores,Alumina (Al 2 O3),IS 1473
54,CHEMICAL- ORES &MINERALS,Manganese Ores,Iron,IS 1473
55,CHEMICAL- ORES &MINERALS,Manganese Ores,Manganese,IS 1473
56,CHEMICAL- ORES &MINERALS,Manganese Ores,Manganese Dioxide (Mn O2),IS 1473
57,CHEMICAL- ORES &MINERALS,Manganese Ores,Moisture,IS 1473
58,CHEMICAL- ORES &MINERALS,Manganese Ores,Moisture,ISO 4299
59,CHEMICAL- ORES &MINERALS,Manganese Ores,Phosphorus,IS 1473
60,CHEMICAL- ORES &MINERALS,Manganese Ores,Silica (Si O2),IS 1473
61,CHEMICAL- ORES &MINERALS,Quartzite & High Silica Sand,Loss on Ignition,IS 1917 (Part 1)
62,CHEMICAL- ORES &MINERALS,Quartzite & High Silica Sand,Silica (Si O2),IS 1917 (Part 3)
63,CHEMICAL- PAPER ANDPULP,Paper & Paper Pulp,Ash Content at 525 degree C,IS 1060 (Part 4) (Section: 2)
64,CHEMICAL- PAPER ANDPULP,Paper & Paper Pulp,p H Value,IS 1060 (Part 4) (Section: 7)
65,CHEMICAL- PAPER ANDPULP,Paper & Paper Pulp,Water absorbency,IS 1060 (Part 1)
66,CHEMICAL- PAPER ANDPULP,Paper and Paper Pulp,Ash Content at 900 degree C,IS 1060 (Part 4) (Section: 3)
67,CHEMICAL- PAPER ANDPULP,Paper and Paper Pulp,Moisture Content,IS 1060 (Part 5) (Section: 2)
68,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Alkalinity (as HCO3),APHA (24th Edition) 2320 B
69,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Ammoniacal nitrogen as-N,APHA (24th Edition) 4500 NH3 F
70,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Ammoniacal nitrogen as-N,IS 3025 (Part 34)
71,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,BOD at 27 degree C for 3 days,IS 3025 (Part 44)
72,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Boron (as B),APHA (24th Edition) 4500 B C
73,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Calcium (as Ca),APHA (24th Edition) 3500 Ca B
74,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Calcium (as Ca),IS 3025 (Part 40)
75,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Chloride (as Cl),APHA (24th Edition) 4500 Cl- B
76,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Chloride (as Cl),IS 3025 (Part 32)
77,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,COD,APHA (24th Edition) 5220 B
78,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Dissolved Oxygen (DO),IS 3025 (Part 38)
79,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Fluoride (as F),APHA (24th Edition) 4500 F D
80,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Iron (as Fe),APHA (24th Edition) 3500 Fe B
81,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Iron (as Fe),IS 3025 (Part 53)
82,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Magnesium (as Mg),APHA (24th Edition) 3500 Mg B
83,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Magnesium (as Mg),IS 3025 (Part 46)
84,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Nitrate (as NO3),APHA (24th Edition) 4500 NO3 B
85,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Oil & Grease,APHA (24th Edition) 5520 B
86,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,p H,APHA (24th Edition) 4500 H+ B
87,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Phenolic compounds (as C6 H5 OH),APHA (24th Edition) 5530 D
88,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Phenolic compounds (as C6 H5 OH),APHA (24th Edition) 5530 D
89,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Phosphate (as PO4),APHA (24th Edition) 4500 P D
90,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Potassium (as K),APHA (24th Edition) 3500-K B
91,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Potassium (as K),IS 3025 (Part 45)
92,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Sodium (as Na),APHA (24th Edition) 3500-Na B
93,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Sodium (as Na),IS 3025 (Part 45)
94,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Specic Conductivity,APHA (24th Edition) 2510 B
95,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Specic Conductivity,IS 3025 (Part 14)
96,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Sulphate (as SO4),APHA (24th Edition) 4500 SO4 E
97,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Total Dissolved Solids (TDS),APHA (24th Edition) 2540 C
98,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Total Dissolved Solids (TDS),IS 3025 (Part 16)
99,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Total Hardness (as Ca CO3),APHA (24th Edition) 2340 C
100,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Total Solid (TS),APHA (24th Edition) 2540 B
101,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Total Suspended Solids (TSS),APHA (24th Edition) 2540 D
102,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Total Volatile Solid (TVS),APHA (24th Edition) 2540 E
103,CHEMICAL- POLLUTION &ENVIRONMENT,Waste water/Euent/Sewage,Turbidity,APHA (24th Edition) 2130 B
104,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Acetone Extract,IS 6110
105,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Autoclaving Test,IS 4135
106,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Autoclaving Test,IS 5915
107,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Autoclaving Test,IS 6110
108,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Identication,IS 3400 (Part 22)
109,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Organic sulphur,IS 3400 (Part 22)
110,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Organic sulphur,IS 5915
111,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Organic sulphur,IS 6110
112,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Polymer Content,ASTM D 297 (Section: 52-53)
113,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Polymer Content,IS 3400 (Part 22)
114,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Polymer Content,IS 5915
115,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Polymer Content,IS 6110
116,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Reaction to Aqueous Extract,IS 4135
117,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Resistance to Acid & Alkali,IS 5915
118,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Resistance to Disinfectants &Detergents,IS 4135
119,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Resistance to Phenol,IS 4135
120,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Resistance to Xylol,IS 6110
121,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Hydrocarbon (Natural Rubber),ASTM D 297 (Part B) (Sections:52-53)
122,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Hydrocarbon (Natural Rubber),IS 6110
123,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Polymer Content -Acetone Chloroform Extract,ASTM D 297 (Section: 21)
124,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Polymer Content -Acetone Chloroform Extract,IS 3400 (Part 22)
125,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Polymer Content -Acetone Chloroform Extract,IS 5915
126,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Polymer Content -Acetone Chloroform Extract,IS 6110
127,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Polymer Content -Alcoholic KOH Extract,ASTM D 297 (Section: 22)
128,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Polymer Content -Alcoholic KOH Extract,IS 3400 (Part 22)
129,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Polymer Content -Alcoholic KOH Extract,IS 5915
130,CHEMICAL- RUBBER &RUBBER PRODUCTS,Rubber (Natural & Synthetic),Rubber Polymer Content -Alcoholic KOH Extract,IS 6110
