0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Cured Plate/ Grid/ Spine,Moisture,EIL/SHM/TPM/02
2,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Cured Plate/ Grid/ Spine,Residual Lead,EIL/SHM/TPM/02
3,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Sulfuric Acid,Acid Content (H2 SO4),IS 266
4,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Sulfuric Acid,Chlorides (as Cl),IS 266
5,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Sulfuric Acid,Organic matter,IS 266
6,CHEMICAL- INDUSTRIAL &FINE CHEMICALS,Sulfuric Acid,Residue on Ignition,IS 266
7,CHEMICAL- METALS &ALLOYS,Lead,Antimony (Sb),AS 4862
8,CHEMICAL- METALS &ALLOYS,Lead,Arsenic (As),AS 4862
9,CHEMICAL- METALS &ALLOYS,Lead,Bismuth (Bi),AS 4862
10,CHEMICAL- METALS &ALLOYS,Lead,Cadmium (Cd),AS 4862
11,CHEMICAL- METALS &ALLOYS,Lead,Copper (Cu),AS 4862
12,CHEMICAL- METALS &ALLOYS,Lead,Iron (Fe),AS 4862
13,CHEMICAL- METALS &ALLOYS,Lead,Nickel (Ni),AS 4862
14,CHEMICAL- METALS &ALLOYS,Lead,Selenium (Se),AS 4862
15,CHEMICAL- METALS &ALLOYS,Lead,Silver (Ag),AS 4862
16,CHEMICAL- METALS &ALLOYS,Lead,Tellurium (Te),AS 4862
17,CHEMICAL- METALS &ALLOYS,Lead,Tin (Sn),AS 4862
18,CHEMICAL- METALS &ALLOYS,Lead,Zinc (Zn),AS 4862
19,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Alluminium (Al),AS 4862
20,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Antimony (Sb),AS 4862
21,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Arsenic (As),AS 4862
22,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Bismuth (Bi),AS 4862
23,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Cadmium(Cd),AS 4862
24,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Calcium (Ca),AS 4862
25,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Copper (Cu),AS 4862
26,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Iron (Fe),AS 4862
27,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Nickel (Ni),AS 4862
28,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Selenium (Se),AS 4862
29,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Silver (Ag),AS 4862
30,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Tellurium (Te),AS 4862
31,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Tin (Sn),AS 4862
32,CHEMICAL- METALS &ALLOYS,Lead Calcium Alloy,Zinc (Zn),AS 4862
33,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Antimony (Sb),AS 4862
34,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Arsenic (As),AS 4862
35,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Bismuth (Bi),AS 4862
36,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Cadmium (Cd),AS 4862
37,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Copper (Cu),AS 4862
38,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Iron (Fe),AS 4862
39,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Nickel (Ni),AS 4862
40,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Selenium (Se),AS 4862
41,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Silver (Ag),AS 4862
42,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Sulphur (S),AS 4862
43,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Tellurium (Te),AS 4862
44,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Tin (Sn),AS 4862
45,CHEMICAL- METALS &ALLOYS,Lead-Antimony Alloy,Zinc (Zn),AS 4862
46,CHEMICAL- WATER,Water for Storage Batteries,Chlorides (as Cl),IS 3025 (Part 32)
47,CHEMICAL- WATER,Water for Storage Batteries,Conductivity,IS 3025 (Part 14)
48,CHEMICAL- WATER,Water for Storage Batteries,Copper (as Cu),IS 3025 (Part 2)
49,CHEMICAL- WATER,Water for Storage Batteries,Iron (as Fe),IS 3025 (Part 2)
50,CHEMICAL- WATER,Water for Storage Batteries,Manganese (as Mn),IS 3025 (Part 2)
51,CHEMICAL- WATER,Water for Storage Batteries,p H (at 25 C),IS 3025 (Part 11)
52,CHEMICAL- WATER,Water for Storage Batteries,Total Dissolve Solids,IS 3025 (Part 16)
53,CHEMICAL- WATER,Water for Storage Batteries,Total Hardness,IS 3025 (Part 21)
54,ELECTRICAL- CELLS &BATTERIES,2 V-Plante Cell,Ampere-hour and Watt-hour Eciency Test,IS 1652 (Clause 10.10)
55,ELECTRICAL- CELLS &BATTERIES,2 V-Plante Cell,Capacity Test,IS 1652 (Clause 10.6)
56,ELECTRICAL- CELLS &BATTERIES,2 V-Plante Cell,Dimensional Verication,IS 1652 (Clause 6)
57,ELECTRICAL- CELLS &BATTERIES,2 V-Plante Cell,Endurance Test,IS 1652 (Clause 10.9)
58,ELECTRICAL- CELLS &BATTERIES,2 V-Plante Cell,Loss of Capacity on Storage/Test for Retention of Charge,IS 1652 (Clause 10.8)
59,ELECTRICAL- CELLS &BATTERIES,2 V-Plante Cell,Test for Voltage during Discharge,IS 1652 (Clause 10.11)
60,ELECTRICAL- CELLS &BATTERIES,2 V-Plante Cell,Verication of Marking,IS 1652 (Clause 7)
61,ELECTRICAL- CELLS &BATTERIES,2 V-Tubular Cell,Amperehour and Watt-hour Eciency Test,IS 1651 (Clause 12.9)
62,ELECTRICAL- CELLS &BATTERIES,2 V-Tubular Cell,Capacity Test,IS 1651 (Clause 12.5)
63,ELECTRICAL- CELLS &BATTERIES,2 V-Tubular Cell,Dimensional Verication,IS 1651 (Clause 7)
64,ELECTRICAL- CELLS &BATTERIES,2 V-Tubular Cell,Endurance Test,IS 1651 (Clause 12.8)
65,ELECTRICAL- CELLS &BATTERIES,2 V-Tubular Cell,Loss of Capacity on Storage/Test for Retention of Charge,IS 1651 (Clause 12.7)
66,ELECTRICAL- CELLS &BATTERIES,2 V-Tubular Cell,Test for Voltage during Discharge,IS 1651 (Clause 12.10)
67,ELECTRICAL- CELLS &BATTERIES,2 V-Tubular Cell,Verication of Marking,IS 1651 (Clause 8.1)
