0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL- PAINTS &SURFACE COATING,polymer and resins,Acid Value,IS 101 (Part 9/Section 1)
2,CHEMICAL- PAINTS &SURFACE COATING,"Polymer, resins and varnish",Flexibility Test,IS 101 (Part 5: Section 2)
3,CHEMICAL- PAINTS &SURFACE COATING,"Polymer, resins and varnishes",Scratch Hardness Test,IS 101 Part 5: Section 2
4,CHEMICAL- PAINTS &SURFACE COATING,"Polymer, resins and varnishes",Volatile Content,S 101 (Part 2/Section 2)
5,CHEMICAL- PAINTS &SURFACE COATING,polymers and resins,Density,IS 101 (Part 1/Section 7)
6,CHEMICAL- PAINTS &SURFACE COATING,Polymers and resins,Drying Time,IS 101 (Part 3/Section 1)
7,CHEMICAL- PAINTS &SURFACE COATING,"polymers, resins and varnishes",Non-Volatile Content,IS 101 (Part 2/Section 2)
8,CHEMICAL- PAINTS &SURFACE COATING,Raw material,Acid Value,IS 101 (Part 9/Section 1)
9,CHEMICAL- PAINTS &SURFACE COATING,Raw material,Density,IS 101 (Part 1/Section 7)
10,CHEMICAL- PAINTS &SURFACE COATING,Raw material,Flash Point,IS 101 Part 1 Section 6
11,CHEMICAL- PAINTS &SURFACE COATING,Raw material,Non - Volatile Content,IS 101 Part 8 Section 2
12,CHEMICAL- PAINTS &SURFACE COATING,Raw material,Non-Volatile Content,IS 101 (Part 2/Section 2)
13,CHEMICAL- PAINTS &SURFACE COATING,Raw material,Viscosity by Flow Cup,IS 101 (Part 1:Section 5)
14,CHEMICAL- PAINTS &SURFACE COATING,Raw material,Volatile Content,IS 101 (Part 2/Section 2)
15,CHEMICAL- PLASTIC &RESINS,Glass ber reinforced structure,Chemical resistance of plastics,ASTM C 581
16,CHEMICAL- PLASTIC &RESINS,Liquid resins,Colour Gardner,ASTM D 1544
17,CHEMICAL- PLASTIC &RESINS,liquid resins,Viscosity by using Bubbleviscometer,ASTM D 1545
18,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",enthalpy of reaction anddegree of conversion,ISO 11357-5
19,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Ability to cure in Considerable Thickness,IEC 60464 (2nd Edition)
20,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Ability to cure in Considerable Thickness,IS 10026 (Part 2)
21,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Arrhenius kinetic constants-Reaction order,ASTM E 698
22,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Enthalpy of polymerization,ASTM E 2160
23,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Free Phenol Content,ASTM D 1312
24,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Gel time,IS 6746
25,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Gel time,ISO 9396
26,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Glass Transition Temperature(Tg),ISO 11357-2
27,CHEMICAL- PLASTIC &RESINS,"Plastic, Polymer and Resins",Ionic Chlorine content,ISO 21627-1
