0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Power Cables with extruded XLPE insulation up to 500 k V,Void & contamination Test -Silicon Oil Dip Method,"Internal Standard, Procedure QA/SOP/38"
2,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 150 k V (Um = 170k V) up to 500 k V(Um= 550 k V),Check of cable construction,"IEC 62067,Clause No.12.5.2"
3,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 150 k V (Um = 170k V) up to 500 k V(Um= 550 k V),Vertical ame propagation testfor single cable,"IEC 62067,Clause No.12.5.14.3.1"
4,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 30 k V (Um = 36 k V)up to 150 k V(Um =170 k V),Check of cable construction,"IEC 60840,Clause No.12.5.2"
5,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 30 k V (Um = 36 k V)up to 150 k V(Um =170 k V),Vertical ame propagation testfor single cable,"IEC 60840,Clause No.12.5.14.3.1"
6,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 150 k V (Um = 170 k V) up to 500k V (Um = 550 k V),Additional tests for accessories( Annex H),"IEC 62067,Clause No.Annex.H"
7,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 150 k V (Um = 170 k V) up to 500k V (Um = 550 k V),Examination of the cablesystem with cable andaccessories on completion ofthe electrical tests,"IEC 62067,Clause No.12.4.8"
8,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 30 k V (Um = 36 k V) up to 150 k V(Um = 170 k V),Additional tests for accessories(Annex H),"IEC 60840,Clause No.Annex.H"
9,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 30 k V (Um = 36 k V) up to 150 k V(Um = 170 k V),Complete cable Ageing(Elongation at break for Insulation),"IEC 60811- 401,Clause No.4.2"
10,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 30 k V (Um = 36 k V) up to 150 k V(Um = 170 k V),Examination of the cablesystem with cable andaccessories on completion ofthe electrical tests,"IEC 60840,Clause No.12.4.8"
11,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor working voltages from 66 k V up to and including 220 k V,DC Test on the Outer Sheath,"IS 7098(Part 3),Clause No.19.4"
12,ELECTRICAL- CABLES &WIRES,Power Cables with extruded XLPE insulation up to 500 k V,Vertical ame propagation testfor single cable,"IEC 60332-1-2,Clause No.5"
13,ELECTRICAL- CABLES &WIRES,Power cables with extruded insulation and their accessoriesfor rated voltages above 150 k V (Um = 170 k V) up to 500k V (Um = 550 k V),"Tests for components of cableswith a longitudinally appliedmetal tape or foil, bonded tothe over sheath (Peel Strength)","IEC 62067, Clause No.10.14 &12.5.16"
