0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,Acoustic enclosures,Determination of soundinsulation performances ofenclosures,ISO 11546-2
2,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,Battery pack and system,vibration,ISO 12405-1
3,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electrical, electronic and mechanical equipment",Shock,IEC 60571
4,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electrical, Electronic and Mechanical equipment",Shock,JSS 50101
5,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electrical, Electronic and Mechanical equipment",Shock,JSS 55555
6,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electrical, electronic and mechanical equipment",vibration,JSS 50101
7,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electrical, electronic and mechanical equipment used onrailway vehicles.",Shock,IEC 61373
8,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electrical, Electronic and mechanical equipment, subassemblies used on rail vehicles",Random vibration test,IEC 60571
9,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electrical, Electronic and mechanical equipment, subassemblies used on rail vehicles",vibration,IEC 61373
10,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electrical, Electronic and mechanical machinery/ Equipmentand sub assemblies",Determination of Sound Pressure/ Sound Power Level,ISO 11201
11,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Electronic, Electrical and Mechanical Equipment",Bump,JSS 55555
12,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Flow control and measuring device, electrical, electronicand mechanical equipment",Structure borne vibration/noise measurement,MIL STD 740-2
13,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Flow control device, ow measuring device, Electrical,mechanical and electronic equipment and sub assemblies",Airborne noise measurementon shipboard equipment,MIL STD 740-1
14,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,Flow control devices,Determination of Sound Pressure/ Sound Power Level,IEC 60534-8-1
15,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Flow control devises, ow measuring devises, Mechanical,electrical and electronic equipment and sub assemblies",Seismic test,IEC 344
16,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"Flow meter, Gas meter",vibration test,BS EN 1359
17,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"IT Equipment /Domestic Electronic Appliances &Accessories/Power Supplies & Stablizers/Electronic Components & Equipment Sub Assemblies/ Medical,Electrical & Mechanical Equipment",Determination of Sound Pressure/ Sound Power Level,ISO 1680
18,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"IT Equipment /Domestic Electronic Appliances &Accessories/Power Supplies & Stablizers/Electronic Components & Equipment Sub Assemblies/ Medical,Electrical & Mechanical Equipment",Determination of Sound Pressure/ Sound Power Level,ISA 75.07
19,ELECTRONICS-ENVIRONMENTAL TESTFACILITY,"IT Equipment /Domestic Electronic Appliances &Accessories/Power Supplies & Stablizers/Electronic Components & Equipment Sub Assemblies/ Medical,Electrical & Mechanical Equipment","IP 5 X, 6 X",IEC 60529
