0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Conductor Resistance,IS 10810 (Part 5)
2,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",AC High Voltage Test,IS 10810 (Part 45)
3,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Acid gas generation i.e.corrosivity of Combustiongases test - p H,IEC 60754-2
4,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Conductor Resistance,IEC 60228
5,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables","Construction, Dimension& Thickness","IEC 60811-1-1, Clause No.8"
6,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables","Construction, Dimension& Thickness",IS 10810 (Part 6)
7,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Crush Resistance,UL 44
8,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Elongation at break of Thermoplastic and Elastomeric Insulationand Sheath,IEC 60811-1-1
9,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Elongation at break of Thermoplastic and Elastomeric Insulationand Sheath,IS 10810 (Part 7)
10,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables","Fire survival test,resistance to re withshock and resistance tore with water",BS 6387
11,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Flame Retardance(Bunched Cable),IEC 60332-1-2
12,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Flame Retardance(Bunched Cable),IEC 60332-1-1
13,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Flame Retardance(Bunched Cable),IS 10810 (Part 53)
14,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Heat Shock Test,"Def Stan 61-12 (Part 31/1), IS 10810 (Part 14)"
15,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Hot set test for Insulationand Sheath,"IEC 60811-2-1, Clause No.9"
16,ELECTRICAL- CABLES& WIRES,"Thin walled exible elastomeric cables, electriccables thinwall insulated, electron beamcrosslinked irradiated cables",Insulation Resistance,IEC 60885-1
