0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Air Release Value,ASTM D 3427
2,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Air Release Value,IP 313
3,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Air Release Value,IS 1448 (P 102)
4,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Colour,ASTM D 1500
5,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Copper Strip Corrosion,IS 1448 (P : 15)
6,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Density @ 15 deg. C,ASTM D 1298
7,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Density @ 15 deg. C,IS 1448 (P 16)
8,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Density @ 15 deg. C,ISO 3675
9,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Density @ 29.5 C,ASTM D 1298
10,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Density @ 29.5 C,IS 1448 (P 16)
11,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Density @ 29.5 C,ISO 3675
12,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Emulsion Characteristics(Demulsibility Test),IS 1448 (P 91)
13,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Flash Point (Cleveland Open Cup - COC),IS 1448 (P 69)
14,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Foaming tendency,"IS 1448 (P 67), ASTM D892"
15,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",High Temperature - High Shear test (HTHS),ASTM D 4683
16,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",High Temperature - High Shear test (HTHS),ASTM D 6616
17,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Kinematic Viscosity @100 deg. C,IS 1448 (P 25 Sec 1)
18,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Kinematic Viscosity @100 deg. C,ISO 3104
19,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Kinematic Viscosity @100 deg.C,ASTM D 445
20,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Kinematic Viscosity @ 40deg. C,"ASTM D 445, IS 1448 (P25)"
21,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Low Temperature Cranking Viscosity (CCS),ASTM D 5293
22,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Low temperaturepumping viscosity (MRV),ASTM D 4684
23,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Noack Volatility Test,ASTM D 5800
24,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Pour Point,ASTM D 97
25,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Total Acid Number(Acidity),IS 1448 (P 2)
26,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Total Acid Number(Acidity),ASTM D 664
27,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Total Base Number (TBN),ASTM D 2896
28,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Total Base Number (TBN),IS 1448 (P 1 Sec 2)
29,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Viscosity Index,ASTM D 2270
30,CHEMICAL-LUBRICANTS,"Lubricating oils (Automotive engine oils, gear oils,industrial oils & white oils)",Viscosity Index,IS 1448 (P 56)
