0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Braid Angle and Shield Coverage,CL No. 4.3.5 NEMA WC27500
2,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Braid Angle and Shield Coverage,CL No. 4.3.5 NEMA WC27500
3,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Cable diameter,CL No. 4.4 NEMA WC27500
4,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Cable Weight,CL No. 4.5 NEMA WC27500
5,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Cold Bend,CL No. 4.3.6 NEMA WC27500
6,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Concentricity,CL No. 4.3.16 NEMA WC27500
7,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Conductor Continuity,CL No 4.3.8 NEMA WC27500
8,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Dielectric Proof Test,CL No. 4.3.3.3 NEMA WC27500
9,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Dielectric Withstand Component Wire,CL No. 4.3.3.1 NEMA WC27500
10,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Dielectric withstand Innerjacket,CL No. 4.3.3.2 NEMA WC27500
11,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Flammability,CL No. 4.3.19 NEMA WC27500
12,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Jacket Blocking,CL No. 4.3.15 NEMA WC27500
13,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Jacket elongation,CL No. 4.3.13 NEMA WC27500
14,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Jacket Flaws,CL No. 4.3.4 NEMA WC27500
15,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Jacket Tensile Strength,CL No. 4.3.13 NEMA WC27500
16,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Jacket Wall Thickness,CL No. 4.3.12 NEMA WC27500
17,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Lamination Sealing,CL No. 4.3.14 NEMA WC27500
18,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Shield Solderability,CL No. 4.3.18 NEMA WC27500
19,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Shield Strand Coating Thickness,CL No. 4.3.2.2.1 NEMAWC 27500
20,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Shield Strand Elongation,CL No. 4.3.2.1 NEMA WC27500
21,ELECTRICAL- CABLES& WIRES,Aerospace and Industrial Electrical Cable,Thermal Shock,CL No. 4.3.9 NEMA WC27500
22,ELECTRICAL- CABLES& WIRES,"CO-Axial, Radio Frequency Cables",Capacitance,CL No. 13.3 JSS 6145-24
