0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Capacitance Measurement,IEC 60137
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Chopped Lightning Impulse Test,IEC 60137
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Dry Power Frequency Voltage Withstand Test,IEC 60137
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Lightning Impulse Test,IEC 60137
18,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Partial Discharge Test,IEC 60137
19,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Switching Impulse Test(Dry),IEC 60137
20,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Tan Delta Measurement,IEC 60137
21,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Temperature Rise Test,IEC 60137
22,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Thermal Stability Test,IEC 60137
23,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Bushings upto 420k V,Tightness Test,IEC 60137
24,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformers & Coupling Capacitors up to 765 k V,High Frequency Capacitance & Series Resistance at 30-500 k Hz(High Frequency Resistance part),IEC 60358-1 & IEC60358-2
25,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformers & Coupling Capacitors upto 765 k V,Capacitance Measurement,"IEC 61869-1, IEC 61869-5& IEC 60358-1"
26,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformers & Coupling Capacitors upto 765 k V,Chopped Lightning Impulse Test,"IEC 61869-1, IEC 61869-5& IEC 60358-1"
27,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformers & Coupling Capacitors upto 765 k V,High Frequency Capacitance & Series Resistance at 30-500 k Hz(High Frequency Capacitance part),IEC 60358-1 & IEC60358-2
28,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformers & Coupling Capacitors upto 765 k V,Lightning Impulse Test,"IEC 61869-1, IEC 61869-5& IEC 60358-1"
29,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformers & Coupling Capacitors upto 765 k V,Partial Discharge Test,"IEC 61869-1, IEC 61869-5& IEC 60358-1"
30,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Capacitive Voltage Transformers & Coupling Capacitors upto 765 k V,Power Frequency Voltage Withstand Test (Dry) on Primary Terminal,"IEC 61869-1, IEC 61869-5& IEC 60358-1"
