0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Conductors for Insulated Cables,Conductor Resistance,"BSEN 60228, Clause 5.1.2"
2,ELECTRICAL- CABLES& WIRES,Conductors for Insulated Cables,Tensile Strength (foraluminum conductor),"BSEN 60228, Clause 4.2,4.3"
3,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to and including 1100 V,Halogen Acid Gas Evolution / Corrosive &halogen acid gas,"IS 7098 (Part-1), IS 10810(Part-59)"
4,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages from 3.3 k V to 33 k V,Oxygen Index /Temperature Index Test,"IS 7098 (Part-2), IS 10810(Part-58, 64)"
5,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages including 66k V,Annealing Test (for Copper Conductor),"IS 7098 (Part-3), IS 10810(Part-1)"
6,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Bending Test,"IS 7098 (Part-3), IS 10810(Part-50)"
7,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Capacitance Measurement,IS 7098 (Part-3)
8,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Carbon Black Content Test for PE Sheath,"IS 7098 (Part-3), IS 10810(Part-32)"
9,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Conductor Resistance Test,"IS 7098 (Part-3), IS 10810(Part-5)"
10,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Dielectric Power Factor atambient temperature,"IS 7098 (Part-3), IS 10810(Part-48)"
11,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Dielectric Power Factor Measurement at Elevated Temperature,"IS 7098 (Part-3), IS 10810(Part-48)"
12,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Dimension for armouringmaterial,"IS 7098 (Part-3), IS 10810(Part-36)"
13,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Flammability Test (for PVC Outer Sheathed Cables),"IS 7098 (Part-3), IS 10810(Part-53)"
14,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,Heat Shock Test for PVCSheath,"IS 7098 (Part-3), IS 10810(Part-14)"
15,ELECTRICAL- CABLES& WIRES,Cross Linked Polyethylene Insulated Thermoplastic Sheathed cables for workingvoltages up to 66 k V,High Voltage Test (After Impulse Test 15 Minutes),"IS 7098 (Part-3), IS 10810(Part-45)"
