0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Insulation Resistance Test,"IS 14255, IS 10810(Part-43)"
2,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Water Absorption Test (Gravimetric),"IS 14255, IS 10810(Part-33)"
3,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Ageing in air oven,"IS 14255, IS 10810(Part-11)"
4,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Lay Ratio,"IS 14255, IS 398 (Part-4)"
5,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Test for Thickness ofinsulation and Overall Dimensions,"IS 14255, IS 10810(Part-6)"
6,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Breaking load on Messenger Conductor,"IS 14255, IS 10810(Part-2)"
7,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Conductor Resistance(Phase/Steel Light/Messenger),"IS 14255, IS 10810(Part-5)"
8,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Elongation on Messenger Conductor,IS 14255
9,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,High Voltage at roomtemperature,"IS 14255, IS 10810(Part-45)"
10,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Hot set test,"IS 14255, IS 10810(Part-30)"
11,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Tensile strength andelongation at break on Insulation,"IS 14255, IS 10810(Part-7)"
12,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Bending Test,"IS 14255, IS 10810(Part-50)"
13,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Tensile strength (foraluminum conductor),"IS 14255, IS 10810(Part-2)"
14,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Wrapping test (for Aluminium Conductor),"IS 14255, IS 10810(Part-3)"
15,ELECTRICAL- CABLES& WIRES,Aerial Bunched Cables for working voltages up toand including 1100 V,Shrinkage Test,"IS 14255, IS 10810(Part-12)"
16,ELECTRICAL- CABLES& WIRES,Anti Rodent and Anti Termite Test,Anti Rodent and Anti Termite Test,GIL-WI-17-056 Dtd.10.07.2018
17,ELECTRICAL- CABLES& WIRES,Conductors for Insulated Conductors,Conductor Resistance,BS EN 60228
18,ELECTRICAL- CABLES& WIRES,Conductors for Insulated Conductors,Tensile strength (foraluminum conductor,"BS EN 60228 (Cl.4.2, 4.3)"
19,ELECTRICAL- CABLES& WIRES,Conductors for Insulated Conductors,Tensile strength (foraluminum conductor),"IEC 60228 (Cl.4.2, 4.3)"
20,ELECTRICAL- CABLES& WIRES,Conductors for Insulated Conductors,Conductor Resistance,IEC 60228
