0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",a.c. High voltage test,IS 14697 With Amendment No.1 Clause no. 12.7.6.3
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Insulation resistance test,IS 14697 With Amendment No.1 Clause no. 12.7.6.4
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Test of meter constants,IS 14697 With Amendment No.1 Clause no. 12.14
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Test of no-load condition,IS 14697 With Amendment No.1 Clause no. 12.12
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Test of power consumption,IS 14697 With Amendment No.1 Clause no. 12.7.1
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Test of repeatability of error,IS 14697 With Amendment No.1 Clause no. 12.16
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Test of starting condition,IS 14697 With Amendment No.1 Clause no. 12.13
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Transformer Operated Watthour Meters (Class 0.2 S and 0.5 S) and Var-Hour Meters (Class 0.2 S, 0.5 S and 1 S)",Test on limits of error,IS 14697 With Amendment No.1 Clause no. 11.1
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Watthour Meters,Class 1 and 2",a.c. High voltage test,IS 13779 Clause no. 12.7.6.3
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Watthour Meters,Class 1 and 2",Insulation resistance test,IS 13779 Clause no. 12.7.6.4
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Watthour Meters,Class 1 and 2",Test of meter constants,IS 13779 Clause no. 12.15
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Watthour Meters,Class 1 and 2",Test of no-load condition,IS 13779 Clause no. 12.13
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Watthour Meters,Class 1 and 2",Test of power consumption,IS 13779 Clause no. 12.7.1
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Watthour Meters,Class 1 and 2",Test of repeatability of error,IS 13779 Clause no. 12.17
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Watthour Meters,Class 1 and 2",Test of starting condition,IS 13779 Clause no. 12.14
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"a.c. Static Watthour Meters,Class 1 and 2",Test on limits of error,IS 13779 Clause no. 11.1
