0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,AC High Voltage Test,IEC 62052-11
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Limits of Error,IEC 62052-11
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Meter Constant Test,IEC 62052-11
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,No-Load Condition Test,IEC 62052-11
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Power Consumption Test in Current Circuit,IEC 62052-11
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Power Consumption Test in Voltage Circuit,IEC 62052-11
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Starting Current Test,IEC 62052-11
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Test of Repeatability of Error,AS 62052-11
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Test of Repeatability of Error,IEC 62052-11
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,AC High Voltage Test,AS 62052-11
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Limits of Error,AS 62052-11
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Meter Constant Test,AS 62052-11
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,No-Load Condition Test,AS 62052-11
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Power Consumption Test in Current Circuit,AS 62052-11
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Power Consumption Test in Voltage Circuit,AS 62052-11
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Electrical & Electronics (Static) Energy Meters,Starting Current Test,AS 62052-11
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical & Electronics (Static) Energy Meters (Class - 0.1 S,0.2 S, 0.5 S)",AC High Voltage Test,IEC 62053-22
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"Electrical & Electronics (Static) Energy Meters (Class - 0.1 S,0.2 S, 0.5 S)",Limits of Error,IEC 62053-22
