0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOUR SMARTMETER - CLASS 1 AND CLASS 2,A.C. High Voltage test,IS 16444 Part 1 (Cl 6.10.6)
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOUR SMARTMETER - CLASS 1 AND CLASS 2,Limits of error due to otherinuence quantities (frequencyvariation),IS 16444 Part 1 (Cl No 6.12)
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOUR SMARTMETER - CLASS 1 AND CLASS 2,Limits of error due to otherinuence quantities (voltagevariation),IS 16444 Part 1 (Cl no 6.12)
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOURSMART METER- CLASS 1 AND CLASS 2,Insulation test,IS 16444 Part 1 (Cl 6.10.6)
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOURSMART METER- CLASS 1 AND CLASS 2,Test of limits of error,IS 16444 Part 1 (Cl 6.12)
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOURSMART METER- CLASS 1 AND CLASS 2,Test of meter constant,IS 16444 Part 1 (Cl 6.12)
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOURSMART METER- CLASS 1 AND CLASS 2,Test of no load condition,IS 16444 Part 1 (Cl 6.12)
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOURSMART METER- CLASS 1 AND CLASS 2,Test of power consumption test,IS 16444 Part 1 (Cl 6.10.1)
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOURSMART METER- CLASS 1 AND CLASS 2,Test of repeatability of error,IS 16444 Part 1 (Cl 6.12)
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC DIRECT CONNECTED WATTHOURSMART METER- CLASS 1 AND CLASS 2,Test of starting condition,IS 16444 Part 1 (Cl 6.12)
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 S AND 1 S",Limits of error due to otherinuence quantities (frequencyvariation),IS 16444 Part 2 (Cl No 6.12)
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 S AND 1 S",Limits of error due to otherinuence quantities (voltagevariation),IS 16444 Part 2 (Cl No 6.12)
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 SAND 1 S",A.C. High Voltage test,IS 16444 Part 2 (Cl No 6.10.6)
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 SAND 1 S",Insulation test,IS 16444 Part 2 (Cl No 6.10.6)
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 SAND 1 S",Test of limits of error,IS 16444 Part 2 (Cl No 6.12)
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 SAND 1 S",Test of meter constant,IS 16444 Part 2 (Cl No 6.12)
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 SAND 1 S",Test of no load condition,IS 16444 Part 2 (Cl No 6.12)
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 SAND 1 S",Test of power consumption test,IS 16444 Part 2 (Cl No 6.10.1)
19,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 SAND 1 S",Test of repeatability of error,IS 16444 Part 2 (Cl No 6.12)
20,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOURANDVAR-HOUR SMART METERS, CLASS 0.2 S, 0.5 SAND 1 S",Test of starting condition,IS 16444 Part 2 (Cl No 6.12)
21,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",AC High Voltage test,IS 14697 (Cl no 12.7.6.3)
22,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",Insulation test,IS 14697 (Cl No 12.7.6.4)
23,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",Limits of error due to otherinuence quantities (frequencyvariation),IS 14697 (Cl No. 12.10)
24,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",Limits of error due to otherinuence quantities (voltagevariation),IS 14697 (Cl No. 12.10)
25,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",Limits of Error test,IS 14697 (Cl No. 11.1)
26,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",Meter Constant test,IS 14697 (Cl No. 12.14)
27,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",No Load Condition test,IS 14697 (Cl No. 12.12)
28,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",Power Consumption test,IS 14697 (Cl No. 12.7.1)
29,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",Repeatability of Error test,IS 14697 (Cl No. 12.16)
30,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. STATIC TRANSFORMER OPERATED WATTHOUR ANDVAR-HOUR METERS, CLASS 0.2 S, 0.5 S",Starting Condition test,IS 14697 (Cl No. 12.13)
31,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,Insulation test,IS 13779 (Cl No 12.7.6.4)
32,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,Limits of error due to otherinuence quantities (frequencyvariation),IS 13779 (Cl No. 12.11)
33,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,A.C. High Voltage test,IS 13779 (Cl No. 12.7.6.3)
34,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,Limits of error due to otherinuence quantities (voltagevariation),IS 13779 (Cl No. 12.11)
35,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,Limits of Error test,IS 13779 (Cl No. 11.1)
36,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,Meter Constant test,IS 13779 (Cl No. 12.15)
37,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,No Load Condition test,IS 13779 (Cl No. 12.13)
38,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,Power Consumption test,IS 13779 (Cl No. 12.7.1)
39,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,Repeatability of Error test,IS 13779 (Cl No. 12.17)
40,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. STATIC WATTHOUR METERS CLASS 1 & 2,Starting Condition test,IS 13779 (Cl No. 12.14)
41,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Alternating Current Direct Connected Static Prepayment Meters For Active Energy (Class 1 and 2),A.C. High Voltage test,IS 15884 (RA 2015) (Cl No 5.4.6.3)
42,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Alternating Current Direct Connected Static Prepayment Meters For Active Energy (Class 1 and 2),Insulation test,IS 15884 (RA 2015) (Cl No 5.4.6.4)
43,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Alternating Current Direct Connected Static Prepayment Meters For Active Energy (Class 1 and 2),Test of limits of error,IS 15884 (RA 2015) (Cl No 4.6.1)
44,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Alternating Current Direct Connected Static Prepayment Meters For Active Energy (Class 1 and 2),Test of meter constant,IS 15884 (RA 2015) (Cl No 5.6.5)
45,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Alternating Current Direct Connected Static Prepayment Meters For Active Energy (Class 1 and 2),Test of no load condition,IS 15884 (RA 2015) (Cl No 5.6.3)
46,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Alternating Current Direct Connected Static Prepayment Meters For Active Energy (Class 1 and 2),Test of power consumption test,IS 15884 (RA 2015) (Cl No 5.4.1)
47,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Alternating Current Direct Connected Static Prepayment Meters For Active Energy (Class 1 and 2),Test of repeatability of error,IS 15884 (RA 2015) (Cl No 5.6.7)
48,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,Alternating Current Direct Connected Static Prepayment Meters For Active Energy (Class 1 and 2),Test of starting condition,IS 15884 (RA 2015) (Cl No 5.6.4)
49,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,ALTERNATING CURRENT DIRECT CONNECTEDSTATICPREPAYMEN METERS FOR ACTIVE ENERGY(CLASS 1 AND 2),Limits of error due to otherinuence quantities (frequencyvariation),IS 15884 (RA 2015) (Cl No 4.6.2)
50,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,ALTERNATING CURRENT DIRECT CONNECTEDSTATICPREPAYMEN METERS FOR ACTIVE ENERGY(CLASS 1 AND 2),Limits of error due to otherinuence quantities (voltagevariation),IS 15884 (RA 2015) (Cl No 4.6.2)
