0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Crankcase Emission,2003/76/EC amending Directive 70/220/EEC
2,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Crankcase Emission,"AIS 137 (part-1, part-2,part-3)"
3,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Crankcase Emission,EC No 692/2008amending Regulation (EC)No 715/2007
4,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Crankcase Emission,Mo RTH/CMVR/TAP/115-116 Issue 4
5,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Crankcase Emission,R 83-07 Rev 5: 07 seriesof amendments
6,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Crankcase Emission,REGULATION (EU) No 134/2014
7,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Evaporative Emission Test-HC,2003/76/EC amending Directive 70/220/EEC
8,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Evaporative Emission Test-HC,"AIS 137 (part-1, part-2,part-3)"
9,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine vehicles,Evaporative Emissiontest-HC,EC No 692/2008amending Regulation (EC)No 715/2007
10,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Evaporative Emission Test-HC,Mo RTH/CMVR/TAP/115-116 Issue 4
11,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Evaporative Emission Test-HC,R 83-07 Rev 5: 07 seriesof amendments
12,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Free Acceleration smoke Test,2003/76/EC amending Directive 70/220/EEC
13,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Free Acceleration smoketest,"AIS 137 (part-1, part-2,part-3)"
14,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Free Acceleration Smoke Test,EC No 692/2008amending Regulation (EC)No 715/2007
15,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Free Acceleration Smoke Test,GTR 02
16,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Free Acceleration smoketest,Mo RTH/CMVR/TAP/115-116 Issue 4
17,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Free Acceleration Smoke Test,R 83-07 Rev 5: 07 seriesof amendments
18,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,Free Acceleration Smoke Test,REGULATION (EU) No 134/2014
19,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,High Idle Lambda Measurement,2003/76/EC amending Directive 70/220/EEC
20,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine vehicles,High Idle Lambda Measurement,"AIS 137 (part-1, part-2,part-3)"
21,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,High Idle Lambda Measurement,EC No 692/2008amending Regulation (EC)No 715/2007
22,CHEMICAL-ATMOSPHERICPOLLUTION,IC Engine Vehicles,High Idle Lambda Measurement,GTR 02
