0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Abnormal Operation,IS 302-2-15(Cl.19)/IEC60335-2-15
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Classication,IS 302-2-15(Cl.6)/IEC60335-2-15
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,"Clearances, creepagedistances and solid insulation",IS 302-2-15(Cl.29)/IEC60335-2-15
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Components,IS 302-2-15(Cl.24)/IEC60335-2-15
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Construction,IS 302-2-15(Cl.22)/IEC60335-2-15
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Heating,IS 302-2-15(Cl.11)/IEC60335-2-15
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Internal Wiring,IS 302-2-15(Cl.23)/IEC60335-2-15
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Leakage current and electricstrength at operatingtemperature(Electric Strength),IS 302-2-15(Cl.13)/IEC60335-2-15
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Leakage current and electricstrength at operatingtemperature(Leakage Current),IS 302-2-15(Cl.13)/IEC60335-2-15
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Leakage current and electricstrength at operatingtemperature(Leakage Current),IS 302-2-15(Cl.16)/IEC60335-2-15
11,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Leakage current and electricstrength at operatingtemperature(Electric Strength),IS 302-2-15(Cl.16)/IEC60335-2-15
12,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Marking and instructions,IS 302-2-15(Cl.7)/IEC60335-2-15
13,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Mechanical Strength,IS 302-2-15(Cl.21)/IEC60335-2-15
14,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Moisture Resistance,IS 302-2-15(Cl.15)/IEC60335-2-15
15,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Overload protection oftransformers and associatedcircuits,IS 302-2-15(Cl.17)/IEC60335-2-15
16,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Power Input and Current,IS 302-2-15(Cl.10)/IEC60335-2-15
17,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Protection against access tolive parts,IS 302-2-15(Cl.8)/IEC60335-2-15
18,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Appliances for Heating Liquids,Provision for Earthing,IS 302-2-15(Cl.27)/IEC60335-2-15
