0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium conductors,Corona inception/extinction test,IEC 60060 (Part 1)
2,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium conductors,Corona inception/extinction test,IS 398 Part-5
3,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium conductors,RIV Test,IEC 60437
4,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium conductors,RIV Test,IS 398 Part-5
5,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Aluminium conductors,RIV Test,IS 8263
6,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Composite Suspension and Tension Insulators,Dry Lightning impulsewithstand & Flash overtest,IEC 61109
7,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Composite Suspension and Tension Insulators,Dry Power frequencyvoltage withstand test &ash over test,IEC 60060-1
8,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Composite Suspension and Tension Insulators,Dry/Wet Switchingimpulse voltage withstandtest,IEC 61109
9,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Composite Suspension and Tension Insulators,RIV Test,IEC 61109
10,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Composite Suspension and Tension Insulators,Visible corona Test(Power Frequency Voltage),IEC 60060 (Part 1)
11,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Composite Suspension and Tension Insulators,Wet Power frequencyvoltage withstand test &ash over test,IEC 61109: 2008 & IEC60060-1
12,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current limiting fuses,Dry Power- frequencyvoltage withstand test,IEC 60282-1
13,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current limiting fuses,Dry Power- frequencyvoltage withstand test,IS 9385 Part-1
14,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current limiting fuses,Lightning Impulse Voltagewithstand test,IEC 60282-1
15,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current limiting fuses,Lightning Impulse Voltage Withstand Test,IS 9385 Part-1
16,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current limiting fuses,Wet Power-frequencyvoltage withstand test,IEC 60282-1
17,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,Current limiting fuses,Wet Power-frequencyvoltage withstand test,IS 9385 Part-1
18,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Disc, Pin, Post & Traction Insulators",Dry Power frequencyvoltage withstand test &ash over test,IEC 60383-1
19,ELECTRICAL-TRANSMISSION LINEEQUIPMENT &ACCESSORIES,"Disc, Pin, Post & Traction Insulators",Lightning impulsewithstand & Flash overtest,IEC 60383-1
