0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Ageing in Air Oven - Elongationat Break - Variation (XLPEInsulation),"IS 10810 (Part 11), IS 14255(Clause No. 10.1.c.i)"
2,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Ageing in Air Oven - Tensile Strength - Variation (XLPEInsulation),"IS 10810 (Part 11), IS 14255(Clause No. 10.1.c.i)"
3,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Bending Test on the Completed Cable,IS 14255 (Clause No. 11.4)
4,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Breaking Load (Messenger Conductor),"IS 10810 (Part 2), IS 14255(Clause No. 10.1.b.i)"
5,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Elongation at Break (XLPEInsulation),"IS 10810 (Part 7), IS 14255(Clause No. 5.1 and 10.1.c.i.d.i)"
6,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Elongation Test (Messenger Conductor),IS 14255 (Clause No.11.3 and Clause No. 10.1.b.ii)
7,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,High Voltage Test,"IS 10810 (Part 45), IS 14255(Clause No. 11.2 and 10.1.g)"
8,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Hot Set Test (XLPE Insulation)Permanent,"IS 10810 (Part 30), IS 14255(Clause No. 10.1.c.iii)"
9,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Hot Set Test (XLPE Insulation)Under Load,"IS 10810 (Part 30), IS 14255(Clause No. 10.1.c.iii)"
10,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Insulation Resistance (Volume Resistivity) Test,"IS 10810 (Part 43), IS 14255(Clause No. 10.1.f)"
11,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Resistance Test (For Phase /Street Light Conductor),"IS 10810 (Part 5), IS 14255(Clause No. 10.1.a.iii)"
12,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Resistance Test (Messenger Conductor),"IS 10810 (Part 5), IS 14255(Clause No. 10.1.b.iii)"
13,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Shrinkage Test (XLPEInsulation),"IS 10810 (Part 12), IS 14255(Clause No. 10.1.c.iv)"
14,ELECTRICAL- CABLES &WIRES,Aerial Bunched Cables - For Working Voltages up to andincluding 1100 Volts,Tensile Strength (XLPEInsulation),"IS 10810 (Part 7), IS 14255(Clause No. 5.1 and 10.1.c.i.d.i)"
