0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Incorrect address / Addressing(Cl. 5.3.9),IEC 61784-3
2,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Message corruption (Cl. 5.3.2),IEC 61784-3
3,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Message loss (Cl. 5.3.5),IEC 61784-3
4,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Unintended repetition of amessage (Cl. 5.3.3),IEC 61784-3
5,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Behavioral Aspects (Cl.7.1.1),EN 62680-1-2
6,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Behavioral Aspects (Cl.7.1.1),IEC 62680-1-2
7,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Behavioral Aspects (Cl.7.1.1),SASO IEC 62680-1-2
8,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Behavioral Aspects (Cl.7.1.1),USB Power Delivery Specification USB-IF Rev 3.2
9,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",BIST Carrier Mode (Cl. 5.9.1),EN 62680-1-2
10,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",BIST Carrier Mode (Cl. 5.9.1),IEC 62680-1-2
11,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",BIST Carrier Mode (Cl. 5.9.1),SASO IEC 62680-1-2
12,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",BIST Carrier Mode (Cl. 5.9.1),USB Power Delivery Specification USB-IF Rev 3.2
13,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Control Message (Cl. 6.3),EN 62680-1-2
14,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Control Message (Cl. 6.3),IEC 62680-1-2
15,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Control Message (Cl. 6.3),SASO IEC 62680-1-2
16,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Control Message (Cl. 6.3),USB Power Delivery Specification USB-IF Rev 3.2
17,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Source Power Rules (Cl. 10.2),EN 62680-1-2
18,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Source Power Rules (Cl. 10.2),IEC 62680-1-2
19,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Source Power Rules (Cl. 10.2),SASO IEC 62680-1-2
20,ELECTRONICS- ITEQUIPMENT,"Audio, video, IT and multimedia systems and equipment.",Source Power Rules (Cl. 10.2),USB Power Delivery Specification USB-IF Rev 3.2
