0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing machine,Evaluation of Rinsing Performance,"BEE Schedule 12, Clause 4.2.2"
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing machine,Evaluation of Washing Performance,"BEE Schedule 12, Clause 4.2.1"
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing machine,Evaluation of Water Consumption,"IEC 60456, Clause 9.5.2(Edition 5)"
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing Machines,Evaluation of Energy Consumption,"BEE Schedule 12, Clause 4.2.3"
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing Machines,Evaluation of Energy Consumption,"IEC 60456, Clause 9.5.4(Editions 5)"
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing Machines,Evaluation of Rinsing Performance,"IEC 60456, Clause 9.4 (Editions 5)"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing Machines,Evaluation of Washing Performance,"IEC 60456, Clause 9.2 (Editions 5)"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing Machines,Evaluation of Water Consumption,"BEE Schedule 12, Clause 4.2.3"
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing Machines,Evaluation of Water Extractionperformance,"BEE Schedule 12, Clause 4.2.4"
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Semi-Automatic & Fully Automatic Top-load and Front-load Washing Machines,Evaluation of Water Extractionperformance,"IEC 60456, Clause 9.3 (Editions 5)"
