0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers ( Up to 788 L),"Clearances, creepagedistances and solid insulation","Clause No.29, IS 302 (Part 1) :2024/ IEC 60335-1 : 2020,Clause No: 29 of IS/IEC60335-2-89"
2,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers ( Up to 788 L),Leakage current and electricstrength at operatingtemperature,"Clause No.13.2, IS 302 (Part 1): 2024/ IEC 60335-1 : 2020,Clause No.13 of IS/IEC60335-2-89"
3,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers ( Up to 788 L),Leakage current and electricstrength at operatingtemperature,"Clause No.13.3, IS 302 (Part 1): 2024/ IEC 60335-1 : 2020 ,Clause No.13 of IS/IEC60335-2-89"
4,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers ( Up to 788 L),Protection against access tolive parts,"Clause No.8, IS 302 (Part 1) :2024/ IEC 60335-1 : 2020,Clause No.8 of IS/IEC60335-2-89"
5,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers ( Up to 788 L),Provision for earthing,"Clause No.27, IS 302 (Part 1) :2024/ IEC 60335-1 : 2020,Clause No.27 of IS/IEC60335-2-89"
6,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers (Up to 788 L),Energy Consumption Test,"Clause No. 11.2, IS 7872:2020 + A1"
7,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers (Up to 788 L),No-Load Pull-Down Test,"Clause No.11.1, IS 7872:2020 + A1"
8,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers (Up to 788 L),Storage Volume (Net Volume),"Clause No. 8.3, IS 7872:2020 + A1"
9,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Deep Freezers (Up to 788 L),Gross Volume,"Clause No. 8.2, IS 7872:2020 + A1"
10,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Determination of energyconsumption,"Clause No.6,IS 17550 (Part-3)"
11,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Determination of energyconsumption,"Clause No.6,KS IEC62552-3:2015 + A1: 2020, IEC62552-3:2015 + A1"
12,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Determination of energyconsumption,"Clause No.6,OS GSO IEC62552-3:2016, IEC62552-3:2015 + A1"
13,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Determination of Volume,"Clause No. 4.8, IS 17550(Part-3)"
14,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Determination of Volume,"Clause No. 4.8,KS IEC62552-3:2015 +A1:2020, IEC62552-3:2015 +A1"
15,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Determination of Volume,"Clause No.4.8,OS GSO IEC62552-3:2016, IEC62552-3:2015 + A1"
16,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Freezing Capacity Test,"Clause No. 8,OS GSO IEC62552-2:2016,IEC62552-2:2015 + A1"
17,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Pull Down Test,"Clause No. 4.6 (a),IS 17550(Part-2)"
18,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Pull Down Test,"Clause No. 4.6 (a),KS IEC62552-2: 2015 + A1: 2020,IEC62552-2:2015 +A1"
19,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Storage test,"Clause No. 6,OS GSO IEC62552-2:2016, IEC62552-2:2015 + A1"
20,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Storage test,"Clause No.6, IS 17550 : (Part-2)"
21,ELECTRICAL- DOMESTICELECTRICAL APPLIANCES,Household Refrigerating Appliances,Temperature Rise Test,"Clause No. 4.6 (c), OS GSO IEC62552-2:2016, IEC62552-2:2015 + A1"
