0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single/ Three Phase) from 25 k VA to 55 MVA, 220k V Class",Induced AC Withstand Voltage Test (IVPD),IEC 60076 - 3
2,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single/ Three Phase) from 25 k VA to 55 MVA, 220k V Class",Insulation Resistance,IEC 60076 (Part 1/Clause.11.1.4.h)
3,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single/ Three Phase) from 25 k VA to 55 MVA, 220k V Class",Magnetic Circuit (Isolation Test),CBIP - 317 Manual on Transformers
4,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Harmonics of No Load Current,IS 2026 (Part 1 /Clause 10.6)
5,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Harmonics of No-Load Current,IEC 60076 (Part 1/Clause 3.13.2)
6,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Load loss,IEC 60076 (Part 11/Clause 14.2.3)
7,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Load loss,IS 2026 (Part 11/Clause 14.2.3)
8,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",No Load Loss,IEC 60076 (Part 11/Clause no 14.2.4)
9,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",No Load Loss,IS 2026(Part 11/Clause 14.2.4)
10,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Partial Discharge,IS 2026 (Part 11/Clause 14.2.7)
11,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Partial Discharge Test,IEC 60076 (Part 11/Clause 14.2.7)
12,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Verication of Vector Groupand Polarity,IS 2026 (Part 11 /Clause 14.2.2)
13,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Winding Resistance,IEC 60076 (Part 11/Clause 14.2.1)
14,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Winding Resistance,IS 2026 (Part 11/Clause 14.2.1)
15,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Voltage Ratio,IEC 60076 (Part 11/Clause 14.2.2)
16,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Induced AC Withstand Voltage Test ( Excluding Partial Discharge),IEC 60076 - 11(Clause no 14.2.6)
17,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Induced AC Withstand Voltage Test (IVW),IS 2026 -11(Clause no 14.2.6)
18,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Insulation Resistance,IEC 60076 (Part 1/Clause 11.1.4.h)
19,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Insulation Resistance,IS 2026 (Part 1/Clause 10.1.3.j)
20,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Magnetic Balance Test on 3 Phase Transformer,"CBIP - 317 Manual on Transformers (Section BB,Clause no 3.17)"
21,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Magnetic Circuit (Isolation Test),CBIP 317 Manual on Transformers (Clause No. 3.15of Section BB)
22,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Separate Source AC Withstand Voltage Test,IEC 60076 - 11(Clause no 14.2.5)
23,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Separate Source AC Withstand Voltage Test,IS 2026 (Part 11/ Clause 14.2.5)
24,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Temperature Rise,IEC 60076 (Part 11/Clause 14.3.2)
25,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Temperature Rise,IS 2026 (Part 11/ Clause 14.3.2)
26,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Clas",Short Circuit Impedance,IEC 60076 (Part 11/Clause 14.2.3)
27,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Voltage Ratio,IS 2026 (Part 11 /Clause 14.2.2)
28,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Capacitance and dissipation Factor (Tan Delta) of thewinding.,IEC 60076 (Part 1/Clause 11.1.4c & 11.1.4d)
29,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Capacitance and dissipation Factor (Tan Delta) of thewinding.,IS 2026 (Part 1/Clause 10.1.3b)
30,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Magnetizing Current in No loadloss,IEC 60076 (Part 11/Clause no 14.2.4)
31,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Magnetizing Current in No Load Loss,IS 2026(Part 11/Clause 14.2.4)
32,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Short Circuit Impedance,IS 2026 (Part 11/Clause 14.2.3)
33,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry Type Transformers (Single / Three Phase) from 10 k VAto 5 MVA, 33k V Class",Verication of Vector Groupand Polarity,IEC 60076 (Part 11/ Clause 14.2.2)
34,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Dry type Transformers from (25 k VA to 5 MVA, 33 k V Class)",Partial Discharge Measurement,IS 2026 (Part 11/Clause 14.2.7)
35,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Separate Source AC Withstand Voltage Test,IS 2026 (Part 3/Clause 10)
36,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Voltage Ratio,IS 2026 (Part 1/Clause 10.3)
37,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",No Load Loss,IS 2026 (Part 1/Clause 10.5)
38,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Winding Resistance,IS 2026 (Part 1/Clause 10.2)
39,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Insulation Resistance,IS 2026 (Part 1/Clause 10.1.3.j)
40,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Load loss,IS 2026 (Part 1/Clause 10.4)
41,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class",Harmonics of No-Load Current,IS 2026 (Part 1/Clause 10.6)
42,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class",Temperature Rise,IS 2026 ( Part 2)
43,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Capacitance and dissipation Factor (Tan Delta) of the Bushing.,IEC 60137(Part 1/ Clause 9.2)
44,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Capacitance and dissipation Factor (Tan Delta) of thewinding.,IS 2026 (Part 1/Clause no 10.1.3b)
45,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Chopped wave lightningimpulse test (LIC),IEC60076 (Part 3/Clause 13.3)
46,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Chopped wave lightningimpulse test (LIC),IS2026 (Part 3/ Clause 13.3)
47,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Full Wave Lightning Impulsetest (LI),IEC60076 (Part 3/Clause 13.2)
48,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Induced AC Withstand Voltage Test with Partial Dischargemeasurement (IVPD),IS 2026 (Part 3/Clause 11.3)
49,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Induced AC Withstand Voltage Test (IVW),"IS 2026 (Part 3/Clause 11.1,11.2)"
50,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Lightning Impulse Voltage Withstand Test,IS 2026 (Part 3/Clause 13.2)
51,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Magnetizing Current in No Load Loss,IEC 60076 (Part 1/Clause 11.5)
52,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Magnetizing Current in No loadloss,IS 2026 (Part 1/Clause 10.5)
53,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Short Circuit Impedance,IEC 60076 (Part 1 /Clause 11.4)
54,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Magnetic Balance Test on 3 Phase Transformer,CBIP-317 (Section BB/Clause 3.17)
55,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers ( Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Temperature Rise,IS 2026 (Part 2/ Clause 5)
56,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Voltage Ratio,IEC 60076 (Part 1/ Clause 11.3)
57,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from (25 k VAto 55 MVA, 220k V Class)",Short Circuit impedance,IS 2026 (Part 1/Clause 10.4)
58,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Induced AC Withstand Voltage Test with Partial Dischargemeasurement (IVPD),IS 2026 (Part 3/Clause 11.3)
59,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Insulation Resistance,IS 2026 (Part 1/Clause 10.1.3.j)
60,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Load loss,IS 2026 (Part 1/Clause 10.4)
61,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Harmonics of No-Load Current,IS 2026 (Part 1/Clause 10.6)
62,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",No Load Loss,IS 2026 (Part 1/Clause 10.5)
63,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Voltage Ratio,IS 2026 (Part 1 /Clause 10.3)
64,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Winding Resistance,IS 2026 (Part 1/Clause 10.2)
65,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Induced AC Withstand Voltage Test (IVW),"IS 2026 (Part 3/Clause 11.1,11.2)"
66,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Separate Source AC Withstand Voltage Test,IS 2026 (Part 3/Clause 10)
67,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Magnetic Circuit (Isolation Test),CBIP-317 Manual ontransformers ( Clause No. 3.15of Section BB)
68,ELECTRICAL- INDUCTORS& TRANSFORMERS,"Oil lled Transformers (Single / Three Phase) from 25 k VAto 10 MVA, 33k V Class",Magnetizing current in No Load Loss test,IS 2026 (Part 1/Clause 10.5):201
