0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motor for Submersible Pumpsets,Full Load Test,IS 9283 Cl No.16.1 (g)
2,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motor for Submersible Pumpsets,Full Load Test,IS 9283 Cl No.16.1 (g)
3,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Measurement of Stator Resistance,IS 9283 Cl No.16.1 (c)
4,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Insulation Resistance Test,IS 9283 Cl No.16.1 (a)
5,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Leakage Current Test,IS 9283 Cl No.16.1 (n)
6,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Lock Rotor Test,IS 9283 Cl No.16.1 (f)
7,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Lock Rotor Test,IS 9283 Cl No.16.1 (f)
8,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Lock Rotor Test,IS 9283 Cl No.16.1 (f)
9,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Lock Rotor Test,IS 9283 Cl No.16.1 (f)
10,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Lock Rotor Test,IS 9283 Cl No.16.1 (f)
11,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,Momentary Over Load Test,IS 9283 Cl No.16.1 (m)
12,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Rated Voltage,IS 9283 Cl No.16.1 (d)
13,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Rated Voltage,IS 9283 Cl No.16.1 (d)
14,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Rated Voltage,IS 9283 Cl No.16.1 (d)
15,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Rated Voltage,IS 9283 Cl No.16.1 (d)
16,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Rated Voltage,IS 9283 Cl No.16.1 (d)
17,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Reduced Voltage,IS 9283 Cl No.16.1 (e)
18,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Reduced Voltage,IS 9283 Cl No.16.1 (e)
19,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Reduced Voltage,IS 9283 Cl No.16.1 (e)
20,ELECTRICAL- ROTATINGELECTRICAL MACHINES,Motors for Submersible Pumpsets,No Load test at Reduced Voltage,IS 9283 Cl No.16.1 (e)
