0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Circuit Power Factor,IEC 62384 (Clause 9)
2,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Circuit Power Factor,IS 16104 (Clause 9)
3,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Classication,IEC 62384 (Clause 5)
4,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Classication,IS 16104 (Clause 5)
5,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Marking,IEC 62384 (Clause 6)
6,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Marking,IS 16104 (Clause 6)
7,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Operational tests forabnormal conditions,IEC 62384 (Clause 11)
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Operational tests forabnormal conditions,IS 16104 (Clause 12)
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Output Voltage and Current (Output Current),"IEC 62384 (Clause 7.1,7.2)"
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Output Voltage and Current (Output Current),"IS 16104 (Clause 7.1, 7.2)"
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Output Voltage and Current (Output Voltage),"IEC 62384 (Clause 7.1,7.2)"
12,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Output Voltage and Current (Output Voltage),"IS 16104 (Clause 7.1, 7.2)"
13,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Supply Current,IEC 62384 (Clause 10)
14,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Supply Current,IS 16104 (Clause 10)
15,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Total Circuit Power,IEC 62384 (Clause 8)
16,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Control Gear for LEDModules,Total Circuit Power,IS 16104 (Clause 8)
17,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaires,Classication,IEC 60598-2-1 (Clause 1.5)
18,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",Fixed General Purpose Luminaires,Classication,"IS 10322 (Part 5, Section 1, Clause 5)"
