0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Bending Test on the completecable,IS 14255:1995 Clause 11.4 and IS 10810 (Part 50)
2,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Carbon Black Content,"IS 14255:1995, Clause 10(C)-vi, Clause 10(d)-iii and IS10810 (Part 32)"
3,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Conductor Resistance,"IS 14255:1995 Cl no. 10.3a,10.2e, 10.1a iii, 10.1b iii, IS8130:2013 Clause 7.3 and IS10810 (Part 5)"
4,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Elongation at break forinsulation,"IS 14255:1995, Cl. 5.1 (Table-1) ,Cl. No. 10.1 c.i), d.i),(Table-2), Cl. 10.2.g and IS10810 (Part 7)"
5,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Elongation test for messengerconductor,"IS 14255 Cl No. 10.1.b.ii,10.2.d, Cl.11.3"
6,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Elongation Variation afterageing in air oven,"IS 14255:1995, Cl. 5.1 (Table-1) ,Cl. No. 10.1 c.ii), (Table-2)and IS 10810 (Part 11)"
7,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Environmental stress cracking,IS 14255:1995 Clause 10.1.d.vand IS 10810 (Part 29)
8,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,High Voltage Test,"IS 14255:1995 Cl. No. 10.1g,10.2k, 10.3b, 11.2, and IS10810 (Part 45)"
9,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Hot Set,"IS 14255:1995 Cl. No. 10.1.c.iii,10.2.h and IS 10810 (Part 30)"
10,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Insulation Resistance (Volume Resistivity),"IS 14255:1995 Cl. No. 10.2.j,10.1.f and IS 10810 (Part 43)"
11,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Melt ow Index,IS 14255:1995 Clause 10.1.d.iiand IS 10810 (Part 23)
12,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Shrinkage on Insulation,IS 14255:1995 Cl No 10.1.c.ivand IS 10810 (Part 12)
13,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Tensile Strength on insulation,"IS 14255:1995, Cl. 5.1 (Table-1) ,Cl. No. 10.1 c.i), d.i),(Table-2), Cl. 10.2.g and IS10810 (Part 7)"
14,ELECTRICAL- CABLES &WIRES,Arial Bunched Cables - Working voltage up to and including 1100 V,Tensile Strength Variation afterageing in air oven,"IS 14255:1995, Cl. 5.1 (Table-1) ,Cl. No. 10.1 c.ii), (Table-2)and IS 10810 (Part 11)"
