0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Circuit Power Factor,Clause 9 of IEC 62384 :2020
2,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Circuit Power Factor,Clause 9 of IS 16104 :2012 RA
3,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Classication,Clause 5 of IEC 62384 :2020
4,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Classication,Clause 5 of IS 16104 :2012 RA
5,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Endurance,Clause 12.2 of IEC 62384: 2020
6,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Endurance - Supply Voltage Switching Test,Clause 12.1 b) of IEC62384 : 2020
7,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Endurance - Supply Voltage Switching Test,Clause 13.1 b) & 13.2 of IS 16104 : 2012 RA
8,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Marking,Clause 6 IS 16104 : 2012 RA
9,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Marking,Clause 6 of IEC 62384 :2020
10,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Operational Tests for Abnormal Conditions,Clause 11 of IEC 62384 :2020
11,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Operational Tests for Abnormal Conditions,Clause 12 of IS 16104 :2012 RA
12,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Output Voltage and Current - Starting andconnecting Requirements,"Clause 7, 7.1 of IEC62384 : 2020"
13,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Output Voltage and Current - Starting andconnecting Requirements,"Clause 7, 7.1 of IS 16104 :2012 RA"
14,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Output Voltage and Current - Voltage and Current During Operation,"Clause 7, 7.2 of IEC62384 : 2020"
15,"ELECTRICAL- LAMPS,LUMINARIES &ACCESSORIES",DC or AC Supplied Electronic Controlgear for LEDmodules - Performance Requirements,Output Voltage and Current - Voltage and Current During Operation,"Clause 7, 7.2 of IEC62384 : 2020"
