0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
1,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Classication,"Clause 7, IS 1258"
2,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Construction,"Clause 13, IS 1258"
3,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Creepage and clearancesdistances,"Clause 18, IS 1258"
4,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Dimensions,"Clause 9, IS 1258"
5,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,General Resistance toheat,"Clause 19, IS 1258"
6,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Marking,"Clause 8, IS 1258"
7,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Mechanical strength,"Clause 16, IS 1258"
8,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,"Moisture resistance,Insulation resistance andelectric strength","Clause 15, IS 1258"
9,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Protection against electricshock,"Clause 10, IS 1258"
10,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Provision for earthing,"Clause 12, IS 1258"
11,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Resistance to excessiveresidual stresses and torusting,"Clause 21, IS 1258"
12,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,"Resistance to heat, reand tracking","Clause 20, IS 1258"
13,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,"Screws, current-carryingparts and connections","Clause 17, IS 1258"
14,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Standard Ratings,"Clause 6, IS 1258"
15,ELECTRICAL- WIRINGACCESSORIES,Bayonet Lamp holder,Terminals,"Clause 11, IS 1258"
16,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Accessibility of live parts,"Clause 11, IS 371"
17,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Classication,"Clause 8, IS 371"
18,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Construction,"Clause 14, IS 371"
19,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Creepage and clearancesdistance,"Clause 21, IS 371"
20,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Dimensions,"Clause 10, IS 371"
21,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Marking,"Clause 9, IS 371"
22,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Mechanical strength,"Clause 17, IS 371"
23,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Provision for earthing,"Clause 12, IS 371"
24,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Ratings,"Clause 7, IS 371"
25,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,"Resistance to abnormalheat, re and tracking","Clause 19, IS 371"
26,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Resistance to excessiveresidual stresses and torusting,"Clause 22, IS 371"
27,ELECTRICAL- WIRINGACCESSORIES,Ceiling Rose,Resistance to heat,"Clause 18, IS 371"
