0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- CABLES &WIRES,Cross linked polyethylene insulated PVC sheathed cablesfor working voltage up to and including 1100 V,Hot deformation test,Cl. No.15 of IS 7098 (Part 1)
2,ELECTRICAL- CABLES &WIRES,Cross linked polyethylene insulated PVC sheathed cablesfor working voltage up to and including 1100 V,Shrinkage Test,Cl. No. 4.1 & 15 of IS 7098(Part 1)
3,ELECTRICAL- CABLES &WIRES,Cross linked polyethylene insulated PVC sheathed cablesfor working voltage up to and including 1100 V,Volume resistivity (Insulationresistance test),Cl. No. 4.1 & 15 of IS 7098(Part 1)
4,ELECTRICAL- CABLES &WIRES,Cross linked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Volume resistivity (Insulationresistance test),Cl. No. 5 & 19 of IS 7098 (Part 2)
5,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables forworking voltage up to and including 1100 V,"Armour wires for Cables(Round, Formed, Strips)",Cl. No. 13.6 of IS 7098 (Part 1)
6,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables forworking voltage up to and including 1100 V,Tensile strength and Elongation at break after Ageing in Air Oven,Cl. No. 4.1 & 15 of IS 7098(Part 1)
7,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables forworking voltage upto and including 1100 V,Water absorption test(Gravimetric),"Cl. No. 4.1, 15 of IS 7098 (Part 1)"
8,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables forworking voltage upto and including 1100 V,Annealing Test,Cl. No. 15 of IS 7098 (Part 1)
9,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables forworking voltage upto and including 1100 V,Cold Bend Test,Cl. No. 15.4 of IS 7098 (Part 1)
10,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables forworking voltage upto and including 1100 V,Cold Impact Test,Cl. No. 15.4 of IS 7098 (Part 1)
11,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Conductor Resistance Test,Cl. No.15 of IS 7098 (Part 1)
12,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Flame Retardant test on singlecable,Cl. No. 16.10 of IS 7098 (Part 1)
13,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Flammability Test,Cl. No. 16.3 of IS 7098 (Part 1)
14,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Heat Shock Test,Cl. No. 15 of IS 7098 (Part 1)
15,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,High Voltage Test at RT,Cl. No. 16.2 of IS 7098 (Part 1)
16,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Hot Set Test,"Cl. No. 4.1,15 & 16.2 of IS 7098(Part 1)"
17,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Loss of Mass Test,Cl. No. 15 of IS 7098 (Part 1)
18,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Tensile Strength & Elongationat break,"Cl. No. 4.1,15 & Table 1 of IS7098 (Part 1)"
19,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Test for halogen acid gasevolution,Cl. No. 16.13 of IS 7098 (Part 1)
20,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Test for oxygen index test,Cl. No. 16.9 of IS 7098 (Part 1)
21,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Test for temperature index,Cl. No. 16.9 of IS 7098 (Part 1)
22,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Thermal Stability Test,Cl. No. 15 of IS 7098 (Part 1)
23,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Thickness of insulation and Sheath / Dimensions,"Cl. No. 9, 12,13 & 14 of IS 7098(Part 1)"
24,ELECTRICAL- CABLES &WIRES,Crosslinked polyethylene insulated PVC sheathed cables For working voltage upto and including 1100 V,Wrapping Test,Cl. No. 15 of IS 7098 (Part 1)
25,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Annealing Test,Cl. No. 19 of IS 7098 (Part 2)
26,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,"Armour wires for Cables(Round, Formed, Strips)",Cl. No. 8.2 of IS 7098 (Part 2)
27,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Cold Bend Test,Cl. No. 15.4 of IS 7098 (Part 2)
28,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Cold Impact Test,Cl. No. 19.4 of IS 7098 (Part 2)
29,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Conductor Resistance Test,Cl. No. 19 of IS 7098 (Part 2)
30,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Flame Retardant test on singlecable,Cl. No. 20.11 of IS 7098 (Part 2)
31,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Flammability Test,Cl. No. 20.8 of IS 7098 (Part 2)
32,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Heat Shock test,Cl. No. 19 of IS 7098 (Part 2)
33,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,High Voltage Test at RT,Cl. No. 19 & 20.7 of IS 7098(Part 2)
34,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Hot deformation test,Cl. No. 19 of IS 7098 (Part 2)
35,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Hot Set Test,Cl. No. 5 &19 of IS 7098 (Part 2)
36,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Loss of Mass Test,Cl. No. 19 of IS 7098 (Part 2)
37,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Shrinkage Test,Cl. No. 5 &19 of IS 7098 (Part 2)
38,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Tensile Strength & Elongationat break,"Cl. No. 5,9 & 19 of IS 7098(Part 2)"
39,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Tensile strength and Elongation at break after Ageing in Air Oven,"Cl. No. 5, 9, 19 & Table 1 of IS7098 (Part 2)"
40,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Test for halogen acid gasevolution,Cl. No. 20.13 of IS 7098 (Part 2)
41,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Test for oxygen index test,Cl. No. 20.10 of IS 7098 (Part 2)
42,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Test for temperature index,Cl. No. 19.14 of IS 1554 (Part 2)
43,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Test for temperature index,Cl. No. 20.15 of IS 7098 (Part 2)
44,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Thermal Stability Test,Cl. No. 19 of IS 7098 (Part 2)
45,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Thickness of insulation and Sheath / Dimensions,"Cl. No. 4.5.7,6.3,12,17.3,18.3,&19 with Annex A of IS7098 (Part 2)"
46,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Water absorption test(Gravimetric),Cl. No. 5 & 19 of IS 7098 (Part 2)
47,ELECTRICAL- CABLES &WIRES,Crosslinked Polyethylene Insulated Thermoplastics Sheathed Cables for Working Voltages from 3.3 k V up toand Including 33 k V,Wrapping Test,Cl. No. 19 of IS 7098 (Part 2)
48,ELECTRICAL- CABLES &WIRES,"Low Carbon Galvanized steel wires, Formed wires andtapes for armouring of Cables",Dimensions & Tolerances,Cl. No. 7 of IS 3975
49,ELECTRICAL- CABLES &WIRES,"Low Carbon Galvanized steel wires, Formed wires andtapes for armouring of Cables",Resistance (For round &formed wires only),Cl. No. 8.4 of IS 3975
50,ELECTRICAL- CABLES &WIRES,"Low Carbon Galvanized steel wires, Formed wires andtapes for armouring of Cables",Tensile Strength,Cl. No. 8.1 of IS 3975
51,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto & including 11k V,Annealing Test,Cl. No. 18 of IS 1554 (Part 2)
52,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Loss of Mass Test,Cl. No. 18 of IS 1554 (Part 2)
53,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Conductor Resistance Test,Cl. No. 18 of IS 1554 (Part 2)
54,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Flammability Test,Cl. No. 19.8 of IS 1554 (Part 2)
55,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Heat Shock test,Cl. No. 18 of IS 1554 (Part 2)
56,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,High voltage test,Cl. No. 19.7 of IS 1554 (Part 2)
57,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,High Voltage Test at RT,Cl. No. 19.7 of IS 1554 (Part 2)
58,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Hot deformation test,Cl. No. 18 of IS 1554 (Part 2)
59,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Insulation Resistance Test,Cl. No. 18 of IS 1554 (Part 2)
60,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Oxygen index test,Cl. No. 19.9 of IS 1554 (Part 2)
61,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Shrinkage Test,Cl. No. 18 of IS 1554 (Part 2)
62,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Tensile Strength & Elongationat break,Cl. No. 18 of IS 1554 (Part 2)
63,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Tensile strength and Elongation at break after Ageing in Air Oven,Cl. No. 18 of IS 1554 (Part 2)
64,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Test for halogen acid gasevolution,Cl. No. 19.13 of IS 1554 (Part 2)
65,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Test for thickness of insulationand sheath,"Cl. No. 11, 15 & 18 of IS 1554(Part 2)"
66,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Thermal Stability,Cl. No. 18 of IS 1554 (Part 2)
67,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Thickness of insulation and Sheath / Dimensions,"Cl. No. 18, 11, 15 & 17 of of IS1554 (Part 2)"
68,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Water absorption test(Gravimetric),Cl. No. 18 of IS 1554 (Part 2)
69,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables For Working Voltages from 3.3k V upto& including 11k V,Wrapping Test,Cl. No. 18 of IS 1554 (Part 2)
70,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty) Electric Cables for Working Voltages upto & including 1100 V,Test for temperature index,Cl. No. 16.10 of IS 1554 (Part 1)
71,ELECTRICAL- CABLES &WIRES,PVC Insulated (Heavy Duty)Electric Cables For Working Voltages upto& including 1100 V,Annealing Test,Cl. No. 15 of IS 1554 (Part 1)
